snum	redshift	ID	hostHalo	numSubStruct	Mvir	npart	Xc	Yc	Zc	VXc	VYc	VZc	Rvir	Rmax	r2	mbp_offset	com_offset	Vmax	v_esc	sigV	lambda	lambdaE	Lx	Ly	Lz	b	c	Eax	Eay	Eaz	Ebx	Eby	Ebz	Ecx	Ecy	Ecz	ovdens	nbins	fMhires	Ekin	Epot	SurfP	Phi0	cNFW	mbp_Vx	mbp_Vy	mbp_Vz	mbp_x	mbp_y	mbp_z	com_x	com_y	com_z	n_gas	M_gas	lambda_gas	lambdaE_gas	Lx_gas	Ly_gas	Lz_gas	b_gas	c_gas	Eax_gas	Eay_gas	Eaz_gas	Ebx_gas	Eby_gas	Ebz_gas	Ecx_gas	Ecy_gas	Ecz_gas	Ekin_gas	Epot_gas	n_star	M_star	lambda_star	lambdaE_star	Lx_star	Ly_star	Lz_star	b_star	c_star	Eax_star	Eay_star	Eaz_star	Ebx_star	Eby_star	Ebz_star	Ecx_star	Ecy_star	Ecz_star	Ekin_star	Epot_star	Rstar0.5	Rstar0.75	Rstar0.9	Rstar0.95	Rstar0.99	cAnalytic	sRstar0.5
600	0.0	0	-1	258	2.0234e+11	10168362	29128.9120345	28430.0246752	26672.6133143	-2.47	-28.88	-143.33	118.77	50.16	16.31901	1.3409	10.89172	93.26	120.250302	95.73	0.053498	0.054296	0.1729	0.264	0.9489	0.80029	0.748959	-0.108318	0.383976	0.916968	0.98674	0.153687	0.052204	-0.120881	0.910463	-0.395531	102.5	39	0.999962	9.14828e+14	-1.65818e+15	-1.12839e+14	38589.2	6.19827	-31.7	7.3	-159.61	29.128836	28.428996	26.67347	29123.875	28430.28	26682.267	2248893	11696100000.0	0.050552	0.012804	0.489559	-0.235775	0.839489	0.739293	0.683491	-0.214362	0.411829	0.885689	-0.787537	0.463512	-0.406131	0.577784	0.784572	-0.224971	5.73916e+13	-1.03684e+14	944823	3459630000.0	0.017236	0.004352	0.299787	-0.594989	0.745732	0.341284	0.22028	-0.247388	0.419464	0.873412	0.919187	0.386682	0.074646	-0.306421	0.821296	-0.481227	7.55011e+12	-5.35604e+13	4.70226279544	7.28059860638	10.5065830481	12.8444101938	16.3557868599	12.7251284544	4.70226279544
599	0.0001593	0	-1	265	2.0234e+11	10168482	29129.0428779	28430.1586065	26672.828334	-2.47	-28.88	-143.33	118.77	20.61	10.2537	1.48674	10.95746	96.58	120.255327	95.76	0.053519	0.054306	0.1726	0.2637	0.949	0.800609	0.748915	-0.109274	0.383123	0.917211	0.986123	0.157801	0.05157	-0.12498	0.910118	-0.39505	102.52	39	0.999962	9.1531e+14	-1.65837e+15	-1.13217e+14	38599.3	7.53314	-31.44	6.81	-161.31	29.128889	28.428983	26.673726	29123.896	28430.344	26682.5	2249187	11697400000.0	0.050557	0.01279	0.490202	-0.235168	0.839284	0.739358	0.683339	-0.214777	0.411211	0.885876	-0.786134	0.465438	-0.406645	0.579538	0.783755	-0.223301	5.74502e+13	-1.03642e+14	944813	3459690000.0	0.017192	0.004342	0.299357	-0.593973	0.746714	0.340895	0.220124	-0.248289	0.418646	0.873549	0.919604	0.385281	0.076734	-0.304437	0.822371	-0.480649	7.54042e+12	-5.35795e+13	4.69905537125	7.25995879275	10.4685584379	12.8415171483	16.3476917233	12.7232959153	4.70420528029
598	0.0003186	0	-1	262	2.0234e+11	10169011	29129.1096879	28430.1849354	26673.08302	-2.47	-28.88	-143.33	118.78	20.41	7.02129	1.51826	10.97329	96.65	120.264301	95.78	0.053542	0.054322	0.173	0.2634	0.9491	0.800703	0.74904	-0.109377	0.383474	0.917052	0.985962	0.158947	0.051131	-0.126155	0.909771	-0.395476	102.53	39	0.999962	9.15842e+14	-1.65891e+15	-1.13311e+14	38587.9	7.55702	-31.71	6.16	-162.45	29.128939	28.428975	26.673984	29123.908	28430.388	26682.743	2249063	11696500000.0	0.050589	0.012791	0.49015	-0.234887	0.839393	0.73927	0.683236	-0.214576	0.411766	0.885667	-0.784005	0.468176	-0.407611	0.582488	0.781831	-0.222367	5.74819e+13	-1.03626e+14	944796	3459760000.0	0.017172	0.004337	0.299433	-0.592608	0.747767	0.34067	0.220172	-0.248381	0.419149	0.873282	0.92003	0.384148	0.077298	-0.303069	0.822645	-0.481045	7.53601e+12	-5.35896e+13	4.70230224199	7.25017513643	10.4476136462	12.8374051122	16.3433959276	12.7213325846	4.70460551382
597	0.0004779	0	-1	264	2.0234e+11	10169383	29129.1239903	28430.216855	26673.2949909	-2.46	-28.88	-143.33	118.79	20.39	3.10467	3.10678	10.99481	96.67	120.272069	95.81	0.053556	0.054329	0.1732	0.2632	0.9491	0.800599	0.749133	-0.108942	0.383448	0.917115	0.986017	0.158726	0.050763	-0.126105	0.909821	-0.395378	102.55	39	0.999962	9.16384e+14	-1.65938e+15	-1.13207e+14	38564.1	7.56448	1.54	-54.18	-142.16	29.128749	28.429365	26.670331	29123.913	28430.431	26682.974	2249170	11696900000.0	0.050633	0.01279	0.490414	-0.234451	0.839361	0.739176	0.682994	-0.213762	0.412138	0.885691	-0.782343	0.470731	-0.407863	0.585018	0.780099	-0.221809	5.75509e+13	-1.03619e+14	944791	3459850000.0	0.017161	0.004335	0.299672	-0.592182	0.748009	0.340386	0.220053	-0.247761	0.419511	0.873284	0.920618	0.382731	0.077333	-0.301791	0.82312	-0.481035	7.53175e+12	-5.35968e+13	4.70676143	7.2435458725	10.4348082979	12.8330017594	16.3298951574	12.7194291859	4.70059013301
596	0.0006373	0	-1	267	2.0234e+11	10169630	29129.1614794	28430.3439341	26673.5258816	-2.47	-28.87	-143.33	118.8	20.56	1.3286	3.1256	11.01162	96.66	120.278834	95.84	0.053563	0.054325	0.1729	0.2628	0.9492	0.80072	0.749184	-0.10852	0.38288	0.917402	0.985802	0.160397	0.049669	-0.128131	0.909767	-0.39485	102.56	39	0.999962	9.16997e+14	-1.65977e+15	-1.13038e+14	38554.8	7.55702	2.65	-56.2	-144.53	29.128746	28.429452	26.670559	29123.923	28430.493	26683.211	2249208	11696800000.0	0.050625	0.012772	0.491261	-0.233311	0.839183	0.739336	0.682919	-0.213329	0.41152	0.886083	-0.780948	0.473135	-0.407754	0.587036	0.77897	-0.220442	5.76388e+13	-1.03601e+14	944784	3460090000.0	0.017122	0.004325	0.299081	-0.59208	0.748326	0.340259	0.219964	-0.247615	0.418971	0.873585	0.921136	0.3813	0.078222	-0.300325	0.824059	-0.480345	7.52961e+12	-5.36109e+13	4.70904795604	7.22983423906	10.4122642919	12.8340943197	16.3209982435	12.7175382322	4.68787331302
595	0.0007968	0	-1	263	2.0234e+11	10170100	29129.0873386	28430.311972	26673.7260416	-2.46	-28.88	-143.34	118.81	20.44	0.75258	3.05206	11.00693	96.7	120.28703	95.86	0.053567	0.054326	0.1735	0.2627	0.9491	0.800261	0.749316	-0.107	0.383257	0.917423	0.986278	0.157593	0.049196	-0.125725	0.910098	-0.39486	102.57	39	0.999962	9.17564e+14	-1.66043e+15	-1.13373e+14	38528.4	7.57194	3.09	-57.4	-146.37	29.128742	28.429543	26.670793	29123.918	28430.524	26683.441	2249098	11696000000.0	0.050685	0.012781	0.49132	-0.233036	0.839225	0.739212	0.682706	-0.211483	0.412556	0.886043	-0.779042	0.476299	-0.407716	0.590228	0.77649	-0.22067	5.76895e+13	-1.03614e+14	944785	3460260000.0	0.017134	0.004328	0.299853	-0.592203	0.747919	0.339964	0.219954	-0.245828	0.420039	0.873576	0.921789	0.380036	0.076664	-0.299788	0.824099	-0.480611	7.52889e+12	-5.36161e+13	4.71828565155	7.22881071374	10.4106354623	12.8221155775	16.323012098	12.7155935999	4.6637452967
594	0.0009563	0	-1	261	2.0234e+11	10170952	29129.1411513	28430.3574785	26674.001523	-2.46	-28.88	-143.34	118.82	20.67	9.83723	3.08888	11.00167	96.66	120.297356	95.89	0.053585	0.054337	0.1737	0.2623	0.9492	0.800399	0.749461	-0.106833	0.383668	0.917271	0.986162	0.158512	0.048555	-0.126769	0.909765	-0.395293	102.59	39	0.999962	9.18211e+14	-1.66105e+15	-1.13409e+14	38522.5	7.55254	3.54	-58.57	-147.66	29.128735	28.429634	26.671026	29123.928	28430.571	26683.687	2249234	11696600000.0	0.050705	0.012774	0.491421	-0.232169	0.839406	0.739348	0.682678	-0.211275	0.412997	0.885887	-0.777311	0.478492	-0.408452	0.59258	0.774906	-0.219934	5.77703e+13	-1.03621e+14	944784	3460370000.0	0.017109	0.004322	0.299693	-0.591067	0.748882	0.339816	0.21999	-0.245852	0.420455	0.873369	0.922287	0.378696	0.077311	-0.298235	0.824504	-0.480884	7.52858e+12	-5.36302e+13	4.72084732811	7.21704086476	10.3906145564	12.816318387	16.3108832919	12.7136097053	4.6258141086
593	0.0011159	0	-1	268	2.0234e+11	10171454	29129.1668008	28430.4133533	26674.2393273	-2.46	-28.88	-143.34	118.831055703	20.68	1.45359	3.08472	11.01111	96.68	120.305502	95.93	0.053601	0.054338	0.1738	0.2619	0.9493	0.800389	0.749536	-0.10632	0.383712	0.917312	0.98613	0.158941	0.047811	-0.127453	0.909672	-0.395289	102.6	39	0.999962	9.19048e+14	-1.66163e+15	-1.13559e+14	38522.9	7.55627	3.02	-58.62	-148.38	29.12873	28.429729	26.671263	29123.935	28430.62	26683.926	2249196	11696100000.0	0.050737	0.012765	0.491894	-0.23141	0.839339	0.739416	0.682565	-0.210655	0.413171	0.885954	-0.775672	0.480921	-0.408714	0.594943	0.773308	-0.219177	5.78833e+13	-1.03619e+14	944784	3460640000.0	0.017089	0.004317	0.299602	-0.590554	0.749322	0.339564	0.219981	-0.245465	0.420642	0.873388	0.922729	0.377582	0.077481	-0.297185	0.824919	-0.480822	7.53349e+12	-5.3649e+13	4.72297297656	7.20528384387	10.3729346595	12.8145692522	16.3079766443	12.7116647164	4.57293365659
592	0.0012755	0	-1	258	2.0234e+11	10171993	29129.2365277	28430.4876451	26674.5165916	-2.45	-28.87	-143.34	118.85	20.52	1.56903	3.13205	11.0115	96.73	120.315151	95.96	0.053616	0.054347	0.1739	0.2614	0.9494	0.800646	0.7497	-0.106264	0.38389	0.917244	0.9859	0.160599	0.047003	-0.129264	0.909305	-0.395544	102.62	39	0.999962	9.1962e+14	-1.66222e+15	-1.13118e+14	38515.1	7.57269	2.76	-58.75	-147.0	29.128727	28.429823	26.671499	29123.948	28430.673	26684.173	2249093	11695300000.0	0.050745	0.012758	0.492123	-0.230821	0.839367	0.739578	0.682502	-0.210492	0.413205	0.885977	-0.773947	0.48324	-0.409251	0.597243	0.771843	-0.21808	5.7933e+13	-1.03618e+14	944771	3460730000.0	0.017054	0.004309	0.299269	-0.589479	0.750301	0.339456	0.220068	-0.245707	0.420749	0.873268	0.923192	0.376243	0.078477	-0.295542	0.825477	-0.480878	7.5342e+12	-5.36663e+13	4.72251364171	7.19172014935	10.3494326923	12.804767903	16.3004902551	12.7097003049	4.50568624758
591	0.0014352	0	-1	259	2.0234e+11	10171974	29129.2576125	28430.5665514	26674.6865865	-2.45	-28.87	-143.34	118.85	20.17	8.45721	3.07072	11.06512	96.83	120.319929	95.99	0.053623	0.054343	0.1738	0.2614	0.9494	0.800518	0.749666	-0.105984	0.383086	0.917612	0.985733	0.161826	0.046293	-0.130759	0.909427	-0.394771	102.63	39	0.999962	9.20192e+14	-1.66251e+15	-1.13495e+14	38524.3	7.61149	3.51	-59.66	-147.67	29.12872	28.429918	26.671734	29123.956	28430.725	26684.397	2249253	11695900000.0	0.05078	0.012751	0.492622	-0.230203	0.839244	0.739492	0.682219	-0.209711	0.413006	0.886255	-0.772722	0.485376	-0.409037	0.599102	0.770608	-0.21735	5.80285e+13	-1.03604e+14	944764	3460810000.0	0.017037	0.004305	0.299244	-0.589689	0.750146	0.339058	0.219794	-0.24514	0.420468	0.873563	0.923773	0.374733	0.078862	-0.294194	0.826306	-0.480279	7.53572e+12	-5.36835e+13	4.7215110431	7.17952955718	10.3273535144	12.7928404533	16.2890005345	12.7078738587	4.43083917555
