snum	redshift	ID	hostHalo	numSubStruct	Mvir	npart	Xc	Yc	Zc	VXc	VYc	VZc	Rvir	Rmax	r2	mbp_offset	com_offset	Vmax	v_esc	sigV	lambda	lambdaE	Lx	Ly	Lz	b	c	Eax	Eay	Eaz	Ebx	Eby	Ebz	Ecx	Ecy	Ecz	ovdens	nbins	fMhires	Ekin	Epot	SurfP	Phi0	cNFW	mbp_Vx	mbp_Vy	mbp_Vz	mbp_x	mbp_y	mbp_z	com_x	com_y	com_z	n_gas	M_gas	lambda_gas	lambdaE_gas	Lx_gas	Ly_gas	Lz_gas	b_gas	c_gas	Eax_gas	Eay_gas	Eaz_gas	Ebx_gas	Eby_gas	Ebz_gas	Ecx_gas	Ecy_gas	Ecz_gas	Ekin_gas	Epot_gas	n_star	M_star	lambda_star	lambdaE_star	Lx_star	Ly_star	Lz_star	b_star	c_star	Eax_star	Eay_star	Eaz_star	Ebx_star	Eby_star	Ebz_star	Ecx_star	Ecy_star	Ecz_star	Ekin_star	Epot_star	Rstar0.5	Rstar0.75	Rstar0.9	Rstar0.95	Rstar0.99	cAnalytic	sRstar0.5
600	0.0	0	-1	70	49057200000.0	2305582	32747.919778	26226.7029274	28782.0372055	150.38	-151.45	-24.75	74.39	12.31	55.04787	18.49737	1.25475	67.29	75.31387	64.17	0.048141	0.054115	-0.4327	-0.8721	-0.2285	0.962947	0.900864	-0.37529	0.066297	0.924533	0.889226	-0.255756	0.379298	0.261602	0.964465	0.03703	102.5	35	0.99995	1.0099e+14	-1.8888e+14	-9.06941e+12	18765.7	12.2832	136.71	-124.57	90.26	32.754614	26.212008	28.791058	32747.192	26227.224	28782.917	354706	1883750000.0	0.0262	0.00844	-0.282015	-0.721698	-0.632155	0.966755	0.895075	0.294509	-0.576161	0.762432	-0.942051	-0.040923	0.332965	0.160641	0.816311	0.554825	3.31295e+12	-1.05312e+13	194353	704228000.0	0.005382	0.001362	-0.461978	-0.680937	-0.568243	0.673561	0.471091	0.865099	-0.432392	-0.254246	-0.039509	-0.564032	0.824807	0.500042	0.703495	0.505027	1.10587e+12	-5.55973e+12	2.52980260989	4.28753653047	6.13117278539	7.43363594379	9.74846874302	14.64628978	2.52980260989
599	0.0001593	0	-1	70	49057200000.0	2305629	32747.6647608	26226.9440835	28782.0745561	150.38	-151.46	-24.75	74.39	12.3	1.40437	18.4561	1.25131	67.28	75.318415	64.16	0.048145	0.054111	-0.433	-0.872	-0.2284	0.962748	0.900673	-0.374393	0.06597	0.92492	0.889583	-0.255927	0.378343	0.261671	0.964443	0.037132	102.52	35	0.999945	1.00952e+14	-1.88825e+14	-9.07505e+12	18756.5	12.2742	136.83	-124.9	90.45	32.754395	26.212206	28.790914	32746.95	26227.466	28782.959	354755	1884010000.0	0.026203	0.008424	-0.282067	-0.721888	-0.631915	0.967012	0.895407	0.295226	-0.574915	0.763095	-0.94197	-0.041565	0.333114	0.159794	0.817157	0.553824	3.33065e+12	-1.05203e+13	194320	704053000.0	0.005374	0.00136	-0.462445	-0.682084	-0.566485	0.67345	0.47091	0.865087	-0.432163	-0.254673	-0.038581	-0.56352	0.825201	0.500135	0.704045	0.504168	1.1019e+12	-5.5534e+12	2.53646054133	4.29383358231	6.1295770278	7.43665113141	9.75802453581	14.6441209673	2.53517095596
598	0.0003186	0	-1	67	49057200000.0	2305603	32747.4827526	26227.1629771	28782.0957037	150.38	-151.46	-24.75	74.4	12.36	20.60606	18.37696	1.30052	67.25	75.320653	64.14	0.048144	0.054111	-0.4332	-0.8719	-0.2284	0.962761	0.900605	-0.375041	0.065466	0.924694	0.889427	-0.255731	0.378842	0.261274	0.964529	0.037683	102.53	35	0.999945	1.00909e+14	-1.8879e+14	-9.0491e+12	18749.5	12.2526	136.95	-125.22	90.65	32.754175	26.212408	28.790769	32746.718	26227.703	28782.998	354819	1884300000.0	0.026193	0.008416	-0.281996	-0.721875	-0.63196	0.966756	0.896005	0.298078	-0.574516	0.762286	-0.940999	-0.04282	0.335689	0.160217	0.817372	0.553383	3.33236e+12	-1.05139e+13	194307	704034000.0	0.005371	0.001359	-0.463336	-0.681487	-0.566476	0.674531	0.471579	0.86507	-0.43117	-0.256411	-0.036705	-0.564167	0.824845	0.500307	0.704137	0.50387	1.10005e+12	-5.55032e+12	2.54176941616	4.29208130113	6.12124543499	7.43249879977	9.76025494922	14.6420404018	2.54277306644
597	0.0004779	0	-1	66	49057200000.0	2305651	32747.2496964	26227.3860064	28782.1413214	150.39	-151.47	-24.75	74.4	12.08	24.08012	18.31377	1.30969	67.34	75.325056	64.13	0.048141	0.054105	-0.4335	-0.8717	-0.2283	0.962626	0.900404	-0.375159	0.065416	0.924649	0.889424	-0.255583	0.378949	0.261114	0.964571	0.037702	102.55	35	0.999945	1.00865e+14	-1.88747e+14	-9.05255e+12	18741.0	12.3108	137.08	-125.55	90.84	32.753959	26.212607	28.790624	32746.479	26227.942	28783.043	354868	1884510000.0	0.026186	0.008407	-0.282043	-0.721881	-0.631933	0.966871	0.896617	0.299207	-0.573459	0.76264	-0.940724	-0.043491	0.336372	0.159728	0.818079	0.55248	3.33295e+12	-1.05047e+13	194283	703958000.0	0.005354	0.001354	-0.463724	-0.682179	-0.565325	0.674467	0.471642	0.865088	-0.430325	-0.257767	-0.034801	-0.564117	0.824961	0.500412	0.704693	0.502986	1.09706e+12	-5.54601e+12	2.54594535493	4.2946215868	6.11621898161	7.4288992147	9.76448369683	14.6398853105	2.55143928123
596	0.0006373	0	-1	67	49057200000.0	2305673	32747.0314358	26227.6195325	28782.1826686	150.39	-151.47	-24.75	74.41	13.2	47.42	18.25613	1.32519	66.98	75.328752	64.11	0.048147	0.054108	-0.4338	-0.8716	-0.2284	0.962495	0.900284	-0.374254	0.064968	0.925047	0.890081	-0.254703	0.377996	0.26017	0.964834	0.037497	102.56	35	0.999945	1.00818e+14	-1.88697e+14	-9.0775e+12	18707.9	12.0451	137.2	-125.88	91.03	32.753739	26.212806	28.79048	32746.241	26228.182	28783.086	354885	1884570000.0	0.026184	0.008403	-0.281988	-0.721735	-0.632124	0.96688	0.897003	0.302526	-0.572657	0.761933	-0.939922	-0.046568	0.338197	0.158189	0.818471	0.552341	3.32812e+12	-1.04945e+13	194263	703902000.0	0.005345	0.001351	-0.464078	-0.681791	-0.565502	0.674668	0.471826	0.864957	-0.429809	-0.259063	-0.033481	-0.564492	0.824759	0.500728	0.704707	0.502652	1.09406e+12	-5.54146e+12	2.54980757537	4.30074965512	6.11189268904	7.42955352584	9.77160353944	14.6377350647	2.55858854844
595	0.0007968	0	-1	69	49057200000.0	2305764	32746.7805881	26227.8812945	28782.2076102	150.39	-151.47	-24.76	74.41	13.1	1.89304	18.23901	1.32382	67.0	75.33329	64.1	0.048152	0.054102	-0.4339	-0.8715	-0.2284	0.962338	0.900099	-0.373452	0.064403	0.925411	0.890341	-0.255185	0.377059	0.260434	0.964745	0.037958	102.57	35	0.999945	1.00786e+14	-1.8864e+14	-9.08874e+12	18691.7	12.0563	137.32	-126.19	91.23	32.75352	26.213008	28.790333	32745.999	26228.426	28783.127	354916	1884690000.0	0.026184	0.008394	-0.281487	-0.721789	-0.632286	0.966703	0.89714	0.303204	-0.571731	0.762359	-0.939952	-0.047872	0.337934	0.156711	0.819043	0.551915	3.33012e+12	-1.04827e+13	194252	703900000.0	0.005357	0.001354	-0.465071	-0.681933	-0.564514	0.674888	0.471664	0.864761	-0.430256	-0.258973	-0.033702	-0.564256	0.824912	0.501051	0.704624	0.502447	1.09142e+12	-5.53609e+12	2.55753167959	4.31079295205	6.11213181243	7.43169299315	9.76785006337	14.6355435704	2.56349806841
594	0.0009563	0	-1	74	49057200000.0	2305790	32746.5670962	26228.1147532	28782.2540642	150.4	-151.48	-24.76	74.42	13.09	3.3207	18.18078	1.33847	67.0	75.336331	64.09	0.048159	0.054107	-0.4341	-0.8714	-0.2283	0.96225	0.89996	-0.372678	0.063978	0.925753	0.890653	-0.255368	0.376197	0.260476	0.964725	0.038188	102.59	35	0.999945	1.00736e+14	-1.88594e+14	-9.0935e+12	18674.0	12.0496	137.45	-126.53	91.41	32.753304	26.213208	28.790189	32745.763	26228.666	28783.171	354983	1885000000.0	0.026186	0.008391	-0.28117	-0.721862	-0.632344	0.966651	0.897344	0.306077	-0.57013	0.762409	-0.939144	-0.049624	0.33992	0.155964	0.820054	0.550624	3.32745e+12	-1.04744e+13	194225	703806000.0	0.005346	0.001351	-0.465063	-0.681254	-0.56534	0.675002	0.47189	0.864593	-0.429692	-0.26047	-0.032343	-0.564891	0.824532	0.501431	0.70446	0.502298	1.08828e+12	-5.53154e+12	2.56296088944	4.31356836616	6.10624139112	7.43563075275	9.78079053797	14.6334129954	2.56623126346
593	0.0011159	0	-1	80	49057200000.0	2305899	32746.2910794	26228.3826868	28782.2815335	150.4	-151.48	-24.76	74.42	13.15	2.39562	18.17802	1.32082	66.97	75.341469	64.07	0.048169	0.054109	-0.4343	-0.8713	-0.2283	0.961996	0.899741	-0.37173	0.063369	0.926176	0.891127	-0.255286	0.375129	0.260212	0.964787	0.038427	102.6	35	0.999945	1.00688e+14	-1.88529e+14	-9.08803e+12	18658.5	12.028	137.58	-126.87	91.59	32.753081	26.213412	28.790042	32745.517	26228.91	28783.213	355036	1885240000.0	0.026188	0.008387	-0.280967	-0.721544	-0.632797	0.966494	0.897609	0.305852	-0.569139	0.76324	-0.939466	-0.050352	0.338923	0.154464	0.820698	0.550087	3.32289e+12	-1.04623e+13	194204	703749000.0	0.005358	0.001353	-0.466324	-0.682009	-0.563388	0.674873	0.471402	0.864384	-0.430534	-0.25977	-0.03307	-0.564169	0.824997	0.501743	0.704523	0.501897	1.08514e+12	-5.52493e+12	2.57118035645	4.32783814948	6.11514716633	7.43789419683	9.78363603512	14.6312152617	2.56857891743
592	0.0012755	0	-1	74	49055900000.0	2305864	32746.0942645	26228.5853893	28782.3140887	150.4	-151.49	-24.76	74.43	13.14	10.33314	18.09569	1.36227	66.97	75.344208	64.06	0.048165	0.054107	-0.4347	-0.8711	-0.2284	0.961949	0.899614	-0.372611	0.062895	0.925854	0.891022	-0.254539	0.375885	0.259307	0.965015	0.038803	102.62	35	0.999945	1.00641e+14	-1.88491e+14	-9.10635e+12	18629.0	12.0235	137.71	-127.21	91.77	32.752861	26.213613	28.789896	32745.283	26229.147	28783.253	355106	1885570000.0	0.026177	0.008381	-0.281006	-0.72106	-0.633331	0.9666	0.898112	0.306689	-0.569101	0.762932	-0.939403	-0.051986	0.33885	0.153178	0.820623	0.550559	3.31975e+12	-1.04558e+13	194193	703747000.0	0.005345	0.00135	-0.466838	-0.682418	-0.562466	0.675212	0.471722	0.864546	-0.429023	-0.261723	-0.030361	-0.564424	0.824927	0.501635	0.705241	0.500996	1.08229e+12	-5.52218e+12	2.57401389658	4.32617352962	6.10617497967	7.43535965112	9.78854666707	14.6291446554	2.57255864997
591	0.0014352	0	-1	77	49055900000.0	2305912	32745.8666716	26228.8410205	28782.3559555	150.4	-151.49	-24.76	74.43	13.14	2.13364	18.06362	1.36531	66.96	75.347996	64.04	0.048167	0.0541	-0.4349	-0.8711	-0.2284	0.96187	0.899529	-0.371722	0.06235	0.926248	0.89161	-0.253913	0.374914	0.258562	0.965215	0.038793	102.63	35	0.999945	1.00608e+14	-1.88439e+14	-9.12393e+12	18624.8	12.0145	137.83	-127.54	91.97	32.752641	26.213817	28.78975	32745.044	26229.391	28783.297	355177	1885900000.0	0.026171	0.008373	-0.280615	-0.721082	-0.633479	0.966536	0.89829	0.308786	-0.567372	0.763374	-0.938975	-0.053933	0.339731	0.151583	0.821694	0.549402	3.31974e+12	-1.0447e+13	194140	703507000.0	0.005347	0.00135	-0.466841	-0.681582	-0.563476	0.675291	0.471783	0.864256	-0.429115	-0.262531	-0.030138	-0.565106	0.824467	0.502149	0.704638	0.501329	1.0799e+12	-5.51544e+12	2.5813837836	4.33442161508	6.10594204496	7.43786684517	9.79617927853	14.626983861	2.57923161179
