snum	redshift	ID	hostHalo	numSubStruct	Mvir	npart	Xc	Yc	Zc	VXc	VYc	VZc	Rvir	Rmax	r2	mbp_offset	com_offset	Vmax	v_esc	sigV	lambda	lambdaE	Lx	Ly	Lz	b	c	Eax	Eay	Eaz	Ebx	Eby	Ebz	Ecx	Ecy	Ecz	ovdens	nbins	fMhires	Ekin	Epot	SurfP	Phi0	cNFW	mbp_Vx	mbp_Vy	mbp_Vz	mbp_x	mbp_y	mbp_z	com_x	com_y	com_z	n_gas	M_gas	lambda_gas	lambdaE_gas	Lx_gas	Ly_gas	Lz_gas	b_gas	c_gas	Eax_gas	Eay_gas	Eaz_gas	Ebx_gas	Eby_gas	Ebz_gas	Ecx_gas	Ecy_gas	Ecz_gas	Ekin_gas	Epot_gas	n_star	M_star	lambda_star	lambdaE_star	Lx_star	Ly_star	Lz_star	b_star	c_star	Eax_star	Eay_star	Eaz_star	Ebx_star	Eby_star	Ebz_star	Ecx_star	Ecy_star	Ecz_star	Ekin_star	Epot_star	MDM(5.0Rstar0.5)	Mgas(5.0Rstar0.5)	MlowresDM(5.0Rstar0.5)	Mstar(5.0Rstar0.5)	Rstar0.5	Rstar0.75	Rstar0.9	Rstar0.95	Rstar0.99	Vc(5.0Rstar0.5)	cAnalytic
600	0.0	0	-1	726	9.1678e+11	57738189	27558.2602959	29210.2454008	27511.5780307	-78.39	-27.44	-103.92	200.87	16.24	0.0258	0.0258	4.31969	235.67	198.131001	207.14	0.043514	0.061691	-0.07495	-0.3003	0.9509	0.876551	0.869647	0.975319	0.220561	0.010251	-0.15683	0.659327	0.735317	-0.155424	0.718777	-0.677645	97.29	44	1.0	1.9669e+16	-3.77536e+16	-9.7074e+14	444981.0	33.762	-140.84	296.76	-337.19	27.558251	29.210222	27.511573	27560.061	29214.171	27511.475	9012641	50016400000.0	0.030489	0.009189	0.472659	-0.531416	0.702987	0.946997	0.928025	0.981909	0.122168	0.144671	-0.177574	0.859368	0.479535	-0.065742	-0.49655	0.865515	1.14758e+15	-1.96477e+15	16473124	70222200000.0	0.016196	0.013666	0.297443	0.110122	0.948368	0.790189	0.54344	0.979875	0.189125	-0.063844	-0.165715	0.949058	0.268007	0.111278	-0.252034	0.961299	2.7395e+15	-9.14508e+15	73693334669.3	12090983143.6	0.0	63261416055.3	1.96525709188	4.85692160044	8.75640719633	11.9681529991	22.3849291668	255.40841087	10.43669726
599	0.0001593	0	-1	727	9.16712e+11	57733607	27558.3878003	29210.2812924	27511.7416205	-78.39	-27.44	-103.92	200.88	16.36	0.06524	0.01972	4.32285	235.37	198.134841	207.14	0.043531	0.061718	-0.07516	-0.3004	0.9509	0.876502	0.869589	0.97537	0.220361	0.009678	-0.157556	0.665332	0.729732	-0.154365	0.713284	-0.683664	97.3	44	1.0	1.96661e+16	-3.77517e+16	-9.69122e+14	443601.0	33.6262	-321.68	-199.63	469.91	27.558387	29.210263	27.511749	27560.182	29214.213	27511.638	9012466	50016900000.0	0.030492	0.0092	0.472477	-0.531202	0.703271	0.947106	0.928073	0.981949	0.122199	0.144372	-0.177523	0.858854	0.480474	-0.065281	-0.497431	0.865044	1.14521e+15	-1.96418e+15	16471080	70211800000.0	0.016193	0.013663	0.297337	0.110133	0.948399	0.790162	0.543445	0.979995	0.188403	-0.064149	-0.164987	0.949305	0.267582	0.11131	-0.251645	0.961397	2.73771e+15	-9.14317e+15	73680368691.2	12076501720.9	0.0	63246818901.6	1.9649936138	4.85538667925	8.75563598887	11.9749843192	22.3747957966	255.409845359	10.4353424759
598	0.0003186	0	-1	724	9.16653e+11	57729524	27558.5161773	29210.323899	27511.9073428	-78.38	-27.45	-103.93	200.89	16.19	0.09447	0.01743	4.32078	235.83	198.139335	207.14	0.043547	0.061744	-0.07537	-0.3004	0.9508	0.876445	0.869526	0.975423	0.220152	0.009146	-0.158148	0.670596	0.724769	-0.153426	0.708402	-0.688932	97.31	44	1.0	1.96653e+16	-3.77518e+16	-9.68606e+14	444162.0	33.8329	184.97	-356.02	71.7	27.558509	29.210313	27.511919	27560.304	29214.256	27511.8	9012306	50016000000.0	0.030492	0.009214	0.472383	-0.53095	0.703524	0.947209	0.928111	0.981969	0.122456	0.144017	-0.177629	0.858388	0.481268	-0.064688	-0.498172	0.864662	1.14196e+15	-1.96342e+15	16469177	70203600000.0	0.016193	0.013663	0.297244	0.110167	0.948425	0.790173	0.543475	0.980144	0.1875	-0.064503	-0.164074	0.949587	0.267142	0.111341	-0.251255	0.961496	2.73872e+15	-9.14386e+15	73671527128.9	12063757617.1	0.0	63234576630.1	1.96495011791	4.85577540702	8.75394350869	11.9788356356	22.369229249	255.404014965	10.4339777251
597	0.0004779	0	-1	707	9.1659e+11	57725355	27558.6357083	29210.3669454	27512.0737094	-78.38	-27.45	-103.93	200.9	16.45	0.04277	0.01821	4.32128	235.17	198.143573	207.15	0.043562	0.061769	-0.07555	-0.3005	0.9508	0.876386	0.869451	0.975465	0.219986	0.008663	-0.158653	0.67513	0.720437	-0.152637	0.704135	-0.693466	97.33	44	1.0	1.96667e+16	-3.77546e+16	-9.68154e+14	445115.0	33.5314	413.72	-411.71	141.76	27.558653	29.210365	27.512078	27560.424	29214.299	27511.963	9012152	50015800000.0	0.030493	0.009227	0.472246	-0.530725	0.703786	0.947335	0.928171	0.981971	0.122611	0.143875	-0.17776	0.85785	0.482177	-0.064303	-0.499059	0.864179	1.13924e+15	-1.9629e+15	16467364	70195400000.0	0.016191	0.013662	0.297154	0.110186	0.948451	0.790131	0.54353	0.980268	0.186727	-0.064862	-0.163287	0.949849	0.26669	0.111407	-0.250837	0.961597	2.74063e+15	-9.14673e+15	73689062070.8	12046423155.5	0.0	63223683837.9	1.96525752256	4.85659421899	8.75386200518	11.9829557024	22.3561788812	255.395207159	10.4326181848
596	0.0006373	0	-1	714	9.16523e+11	57720948	27558.764537	29210.4125757	27512.2361131	-78.38	-27.45	-103.94	200.91	16.47	0.07219	0.01365	4.31639	235.14	198.147523	207.19	0.04358	0.061791	-0.07574	-0.3006	0.9508	0.876332	0.869382	0.975515	0.219781	0.008209	-0.15905	0.679195	0.716518	-0.151902	0.700279	-0.697521	97.34	44	1.0	1.96719e+16	-3.77579e+16	-9.68985e+14	445023.0	33.5143	-619.91	-222.22	-269.34	27.558761	29.210426	27.512235	27560.545	29214.343	27512.125	9011999	50014800000.0	0.030497	0.009234	0.472078	-0.530495	0.704072	0.947431	0.928209	0.981994	0.122746	0.143599	-0.177796	0.857406	0.482952	-0.063842	-0.499788	0.863792	1.1379e+15	-1.96265e+15	16465450	70187500000.0	0.016192	0.013663	0.297089	0.110234	0.948465	0.790112	0.54358	0.980374	0.186053	-0.065202	-0.162603	0.9501	0.266213	0.111478	-0.250386	0.961706	2.74404e+15	-9.14998e+15	73677528524.5	12016409269.4	0.0	63213188623.3	1.96552335378	4.85797441183	8.75355906262	11.9901556224	22.3476256312	255.353660124	10.4312629515
595	0.0007968	0	-1	706	9.16459e+11	57716525	27558.8885029	29210.4515338	27512.4002904	-78.38	-27.46	-103.95	200.92	16.42	0.03462	0.02008	4.31851	235.29	198.151651	207.21	0.043595	0.061814	-0.07593	-0.3006	0.9507	0.87627	0.869304	0.975561	0.21959	0.007775	-0.159549	0.683602	0.712203	-0.151078	0.696038	-0.701931	97.35	44	1.0	1.96742e+16	-3.77604e+16	-9.67569e+14	445440.0	33.5799	-80.72	238.38	-797.05	27.558902	29.210458	27.512414	27560.666	29214.386	27512.288	9011472	50011300000.0	0.030499	0.00924	0.471876	-0.530297	0.704356	0.947557	0.928248	0.982009	0.123073	0.143218	-0.17793	0.857063	0.483512	-0.06324	-0.500295	0.863542	1.13569e+15	-1.96136e+15	16463787	70182100000.0	0.016189	0.013662	0.297029	0.110285	0.948478	0.790027	0.543578	0.98047	0.185408	-0.065594	-0.161923	0.950323	0.265832	0.111623	-0.250019	0.961785	2.74645e+15	-9.15305e+15	73706226556.2	11978791161.9	0.0	63206348666.5	1.96593792835	4.85941959775	8.75285733524	11.9945261116	22.3372308957	255.333569829	10.4299033097
594	0.0009563	0	-1	709	9.16396e+11	57712321	27559.0123493	29210.4939339	27512.5672623	-78.38	-27.46	-103.95	200.93	16.47	0.01725	0.00421	4.31792	235.18	198.155892	207.21	0.04361	0.061836	-0.07611	-0.3007	0.9507	0.876215	0.869227	0.975606	0.219408	0.007245	-0.15982	0.687246	0.708626	-0.1505	0.692498	-0.705547	97.37	44	1.0	1.96728e+16	-3.77591e+16	-9.6747e+14	446368.0	33.5299	235.42	-142.8	-576.79	27.559013	29.21049	27.512566	27560.787	29214.429	27512.451	9011725	50014200000.0	0.030499	0.009253	0.471702	-0.530067	0.704646	0.947654	0.928287	0.982044	0.12325	0.142825	-0.177951	0.856553	0.484408	-0.062634	-0.501126	0.863105	1.13327e+15	-1.96121e+15	16461536	70170800000.0	0.016189	0.013661	0.296992	0.110344	0.948483	0.789894	0.543597	0.980579	0.184664	-0.066067	-0.16112	0.95055	0.26551	0.111831	-0.249708	0.961842	2.74633e+15	-9.152e+15	73716130093.8	11944572427.4	0.0	63190867506.2	1.96616747222	4.86122939339	8.75241408492	11.9979304469	22.3246485942	255.304882977	10.4285426529
593	0.0011159	0	-1	708	9.16334e+11	57708153	27559.1380919	29210.541845	27512.7300877	-78.38	-27.47	-103.96	200.94	16.4	0.03668	0.01801	4.31311	235.36	198.160162	207.2	0.043624	0.061854	-0.07628	-0.3008	0.9506	0.876144	0.869144	0.975658	0.219191	0.006808	-0.160133	0.690885	0.705007	0.149828	-0.688936	0.709168	97.38	44	1.0	1.96695e+16	-3.77542e+16	-9.69033e+14	447440.0	33.609	-437.96	-485.36	-199.64	27.559129	29.210554	27.512739	27560.909	29214.473	27512.614	9011866	50016800000.0	0.0305	0.009254	0.471542	-0.529861	0.704908	0.947753	0.92834	0.982042	0.123658	0.142484	-0.178171	0.856217	0.48492	-0.062033	-0.501598	0.862874	1.13371e+15	-1.96188e+15	16459396	70159100000.0	0.016188	0.01366	0.296931	0.110398	0.948496	0.789748	0.543545	0.980702	0.183884	-0.066417	-0.160326	0.950804	0.26508	0.111893	-0.249316	0.961936	2.74129e+15	-9.14693e+15	73667254530.4	11896520046.1	0.0	63167673479.7	1.96537319079	4.86293575323	8.75175896459	12.0034433787	22.3138232064	255.273759821	10.4271800791
592	0.0012755	0	-1	712	9.16269e+11	57703966	27559.2609428	29210.5778065	27512.8975377	-78.38	-27.47	-103.96	200.95	16.48	0.05689	0.01452	4.31861	235.16	198.164241	207.18	0.043639	0.06187	-0.07642	-0.3009	0.9506	0.876078	0.869061	0.975705	0.218999	0.006301	-0.160604	0.695384	0.700463	0.149019	-0.684457	0.713661	97.39	44	1.0	1.96652e+16	-3.77462e+16	-9.69061e+14	445295.0	33.5172	-21.25	276.17	-150.7	27.559263	29.210592	27.5129	27561.029	29214.516	27512.777	9011948	50018100000.0	0.030501	0.009261	0.471297	-0.529671	0.705214	0.947861	0.928401	0.982042	0.123905	0.142273	-0.178334	0.855749	0.485686	-0.061571	-0.502336	0.862477	1.13198e+15	-1.96123e+15	16457397	70149200000.0	0.016189	0.013659	0.296878	0.110455	0.948506	0.789564	0.543572	0.980807	0.18313	-0.066938	-0.159485	0.950996	0.264899	0.112169	-0.249139	0.96195	2.73602e+15	-9.13931e+15	73649225646.5	11841636041.4	0.0	63150712060.1	1.96520409631	4.86398527314	8.75259355056	12.0070517819	22.3012952951	255.227941641	10.4258214699
591	0.0014352	0	-1	713	9.16198e+11	57699534	27559.3863571	29210.624389	27513.0618691	-78.38	-27.47	-103.97	200.96	16.49	0.07036	0.00868	4.31366	235.17	198.167939	207.17	0.043654	0.061888	-0.07659	-0.3009	0.9506	0.876037	0.869009	0.975749	0.218817	0.005822	-0.160927	0.699067	0.696712	0.148383	-0.680753	0.717327	97.41	44	1.0	1.96615e+16	-3.77398e+16	-9.67058e+14	443433.0	33.518	9.86	-37.38	545.15	27.559379	29.210622	27.513067	27561.15	29214.559	27512.94	9011724	50017300000.0	0.030502	0.009264	0.471154	-0.529463	0.705466	0.947995	0.928466	0.98207	0.12399	0.142003	-0.178356	0.855071	0.486871	-0.061056	-0.503468	0.861854	1.12941e+15	-1.95908e+15	16455690	70141100000.0	0.016188	0.013656	0.296812	0.110506	0.948521	0.789374	0.543605	0.980972	0.182035	-0.067502	-0.158307	0.951253	0.264681	0.112393	-0.248959	0.961971	2.73299e+15	-9.13477e+15	73658808121.8	11784904903.3	0.0	63138319729.7	1.96538545062	4.86469869452	8.75276308389	12.0117243054	22.2882619506	255.18539328	10.4244696566
