snum	redshift	ID	hostHalo	numSubStruct	Mvir	npart	Xc	Yc	Zc	VXc	VYc	VZc	Rvir	Rmax	r2	mbp_offset	com_offset	Vmax	v_esc	sigV	lambda	lambdaE	Lx	Ly	Lz	b	c	Eax	Eay	Eaz	Ebx	Eby	Ebz	Ecx	Ecy	Ecz	ovdens	nbins	fMhires	Ekin	Epot	SurfP	Phi0	cNFW	mbp_Vx	mbp_Vy	mbp_Vz	mbp_x	mbp_y	mbp_z	com_x	com_y	com_z	n_gas	M_gas	lambda_gas	lambdaE_gas	Lx_gas	Ly_gas	Lz_gas	b_gas	c_gas	Eax_gas	Eay_gas	Eaz_gas	Ebx_gas	Eby_gas	Ebz_gas	Ecx_gas	Ecy_gas	Ecz_gas	Ekin_gas	Epot_gas	n_star	M_star	lambda_star	lambdaE_star	Lx_star	Ly_star	Lz_star	b_star	c_star	Eax_star	Eay_star	Eaz_star	Ebx_star	Eby_star	Ebz_star	Ecx_star	Ecy_star	Ecz_star	Ekin_star	Epot_star	Rstar0.5	Rstar0.75	Rstar0.9	Rstar0.95	Rstar0.99	cAnalytic	sRstar0.5
600	0.0	0	-1	1043	1078500000000.0	67709801	27175.69104507	33460.85360811	32865.72337673	-150.45	161.6	111.05	212.05	20.96	0.04278	0.55882	3.04562	231.08	209.156361	204.85	0.057589999999999995	0.076046	-0.4351	-0.8971	-0.07694	0.9436049999999999	0.807108	0.016538999999999998	0.064692	0.997768	0.9308930000000001	-0.365198	0.008248	0.364917	0.928679	-0.066261	97.29	45	0.999674	2.26297e+16	-4.31965e+16	-1527940000000000.0	389135.0	26.6086	-79.98	56.46	97.94	27.176023999999998	33.460726	32.865293	27177.861	33460.686	32863.593	14188603	78535300000.0	0.082099	0.028333999999999998	-0.494943	-0.8675930000000001	-0.048105	0.9651370000000001	0.884552	0.822422	-0.464633	0.328234	-0.32774699999999996	0.084608	0.940969	0.46497700000000003	0.881452	0.08269800000000001	1884890000000000.0	-3289790000000000.0	15785176	67993900000.0	0.017797	0.012375	-0.518762	-0.8548950000000001	-0.006431999999999999	0.849182	0.519239	0.481941	-0.451427	0.7509640000000001	0.594026	-0.461697	-0.658764	0.644101	0.7635770000000001	0.045649	2176710000000000.0	-7880150000000000.0	2.7960908514888443	6.884950158205634	12.075040402425685	15.895291441631098	24.25473646724969	10.411096933243002	2.7960908514888443
599	0.0001593	0	-1	1041	1078450000000.0	67706155	27175.93259615	33460.60191114	32865.54630814	-150.45	161.61	111.05	212.06	21.01	0.03996	0.40389	3.04354	231.02	209.162385	204.82	0.057589999999999995	0.076051	-0.435	-0.8971	-0.0769	0.943578	0.8070930000000001	0.018032	0.063953	0.99779	0.930817	-0.365425	0.0066	0.365039	0.9286409999999999	-0.066118	97.3	45	0.999674	2.26209e+16	-4.31902e+16	-1521700000000000.0	389238.0	26.584	-93.43	187.7	72.76	27.17616	33.460565	32.865214	27178.099	33460.43	32863.416	14188931	78537100000.0	0.082093	0.028344	-0.49489700000000003	-0.8676200000000001	-0.048089	0.9651049999999999	0.8845200000000001	0.822641	-0.464671	0.32763200000000003	-0.327416	0.083938	0.9411450000000001	0.46482299999999993	0.881496	0.08309	1882830000000000.0	-3288960000000000.0	15782802	67981900000.0	0.01779	0.012372	-0.518688	-0.8549389999999999	-0.006428	0.84908	0.519009	0.482597	-0.45154099999999997	0.750473	0.593577	-0.461445	-0.6593439999999999	0.6440229999999999	0.763662	0.045332	2173210000000000.0	-7877570000000000.0	2.7999110653458414	6.883228286056541	12.092857432254231	15.907585534633984	24.267461977509154	10.409414104244943	2.799093982296955
598	0.0003186	0	-1	1061	1078400000000.0	67702605	27176.18599285	33460.34070165	32865.38036596	-150.45	161.62	111.05	212.08	20.83	0.01898	0.29264	3.04066	231.31	209.16831299999998	204.79	0.05759500000000001	0.076057	-0.4349	-0.8972	-0.07686	0.943544	0.807077	0.019448	0.063221	0.9978100000000001	0.930737	-0.365655	0.005027	0.365172	0.928601	-0.065953	97.31	45	0.999674	2.26131e+16	-4.31823e+16	-1529260000000000.0	389728.0	26.6907	-46.09	163.53	92.45	27.176276	33.460311	32.865103000000005	27178.34	33460.171	32863.241	14189628	78539700000.0	0.082097	0.028364	-0.494845	-0.867649	-0.048097	0.9650690000000001	0.884496	0.822892	-0.464746	0.326893	-0.326918	0.083294	0.941375	0.464729	0.881517	0.08339099999999999	1880280000000000.0	-3288270000000000.0	15780257	67970300000.0	0.017787	0.012369	-0.5186189999999999	-0.854981	-0.006428	0.8490120000000001	0.518782	0.483259	-0.45164399999999993	0.7499859999999999	0.5931930000000001	-0.46112	-0.659917	0.643881	0.7637970000000001	0.045071	2170360000000000.0	-7873850000000000.0	2.8044203529115364	6.882308019394428	12.106102328536785	15.921820764780556	24.28944865405524	10.408062401969957	2.8012071138683963
597	0.0004779	0	-1	1068	1078360000000.0	67699353	27176.44016105	33460.08154139	32865.20244367	-150.45	161.63	111.06	212.09	20.95	0.03765	0.27034	3.03025	231.13	209.174681	204.76	0.057598	0.07606	-0.4348	-0.8973	-0.0768	0.9435389999999999	0.807064	0.02087	0.062465999999999994	0.9978290000000001	0.9306530000000001	-0.365888	0.00344	0.36530799999999997	0.92856	-0.06577100000000001	97.33	45	0.999674	2.26049e+16	-4.31736e+16	-1527080000000000.0	389944.0	26.619	-91.42	192.91	59.09	27.17639	33.46	32.86495	27178.581000000002	33459.913	32863.065	14190337	78544000000.0	0.082098	0.028374	-0.494807	-0.8676709999999999	-0.048101	0.9650569999999999	0.8844549999999999	0.823184	-0.464869	0.32598299999999997	-0.326204	0.082699	0.941675	0.464714	0.881509	0.083565	1878820000000000.0	-3287790000000000.0	15777706	67957100000.0	0.017783	0.012365000000000001	-0.518556	-0.8550190000000001	-0.006418999999999999	0.848966	0.518567	0.48403599999999997	-0.45185299999999995	0.749359	0.592676	-0.46073800000000004	-0.6606479999999999	0.643774	0.763904	0.044788999999999995	2165990000000000.0	-7868950000000000.0	2.8082827512954154	6.879248170429651	12.121404481319976	15.93683822833042	24.30738142501865	10.406700263046496	2.8031057685363683
596	0.0006373	0	-1	1045	1078300000000.0	67695283	27176.68743615	33459.82443302	32865.03269484	-150.45	161.64	111.06	212.1	20.99	0.02647	0.16875	3.02821	231.07	209.180076	204.73	0.0576	0.076057	-0.4346	-0.8973	-0.07675	0.9435530000000001	0.807077	0.022622	0.061642999999999996	0.997842	0.9305399999999999	-0.366187	0.001525	0.365491	0.9284969999999999	-0.06564600000000001	97.34	45	0.999674	2.25973e+16	-4.31632e+16	-1529560000000000.0	389614.0	26.5959	-146.67	114.37	-92.41	27.176562	33.459734999999995	32.864964	27178.821	33459.655	32862.89	14190956	78545700000.0	0.082099	0.028395	-0.494763	-0.8676950000000001	-0.048117	0.965023	0.8844299999999999	0.823384	-0.46495200000000003	0.325359	-0.325789	0.082147	0.941867	0.46465100000000004	0.881516	0.083838	1875770000000000.0	-3286820000000000.0	15774995	67945300000.0	0.017781	0.01236	-0.518492	-0.855059	-0.006405	0.8489549999999999	0.5183760000000001	0.48479099999999997	-0.452075	0.748736	0.592178	-0.460343	-0.66137	0.643664	0.764011	0.044538	2163450000000000.0	-7863160000000000.0	2.8114277389300395	6.875931903071872	12.139794485252722	15.951541036884349	24.32156451100089	10.40535879309612	2.804866329286373
595	0.0007968	0	-1	1059	1078240000000.0	67691710	27176.93998593	33459.56618222	32864.86608176	-150.45	161.65	111.06	212.11	20.85	0.0481	0.16554000000000002	3.02441	231.3	209.18606	204.69	0.057602	0.076061	-0.4345	-0.8974	-0.0767	0.94355	0.807082	0.024374	0.060797000000000004	0.9978520000000001	0.930406	-0.366531	-0.000394	0.36572	0.928417	-0.0655	97.35	45	0.999674	2.25872e+16	-4.31536e+16	-1527290000000000.0	389124.0	26.6795	-317.16	269.64	203.06	27.176948	33.459534999999995	32.865028	27179.062	33459.397000000004	32862.718	14191497	78546400000.0	0.082105	0.028417	-0.49473100000000003	-0.867713	-0.048122000000000005	0.965002	0.884409	0.82378	-0.46498199999999995	0.324311	-0.32497800000000004	0.08142	0.94221	0.464516	0.881568	0.084037	1872540000000000.0	-3285590000000000.0	15772596	67935700000.0	0.017778	0.012358	-0.518432	-0.855095	-0.0063880000000000004	0.848923	0.518185	0.48548199999999997	-0.452136	0.748251	0.591815	-0.45999399999999996	-0.661937	0.6434770000000001	0.764185	0.044262	2158600000000000.0	-7858330000000000.0	2.814543385867345	6.876348600011622	12.15514834597724	15.964488383991911	24.33693529240852	10.404016665893963	2.806831421601026
594	0.0009563	0	-1	1044	1078190000000.0	67687917	27177.18861415	33459.30851857	32864.68647625	-150.45	161.66	111.06	212.12	21.08	0.027339999999999996	0.35741999999999996	3.0163	230.94	209.191797	204.65	0.057602999999999994	0.07606	-0.4344	-0.8975	-0.07666	0.9435549999999999	0.807083	0.02599	0.060032	0.997858	0.9303	-0.366793	-0.002164	0.365877	0.928364	-0.06538	97.37	45	0.9996729999999999	2.25786e+16	-4.31447e+16	-1528500000000000.0	388571.0	26.5422	-313.02	270.81	263.61	27.177444	33.459059	32.864664000000005	27179.302000000003	33459.138999999996	32862.541	14192380	78551900000.0	0.082099	0.028435000000000002	-0.49469799999999997	-0.8677309999999999	-0.048122000000000005	0.964975	0.8843790000000001	0.8241350000000001	-0.46510799999999997	0.323226	-0.32416	0.08064299999999999	0.942559	0.464458	0.8815729999999999	0.08430900000000001	1869700000000000.0	-3284690000000000.0	15769673	67920000000.0	0.017773	0.012353	-0.518379	-0.8551270000000001	-0.006381	0.848938	0.517999	0.48619300000000004	-0.452324	0.747676	0.591337	-0.45964799999999995	-0.662604	0.6433800000000001	0.764282	0.043999	2155340000000000.0	-7853520000000000.0	2.817827043967548	6.8724563736413495	12.17197454309985	15.979445016562956	24.349197447384643	10.402664103615006	2.8093403588733756
593	0.0011159	0	-1	1062	1078140000000.0	67684318	27177.43594086	33459.05302367	32864.51926211	-150.46	161.68	111.06	212.13	21.21	0.03283	0.27963000000000005	3.0160099999999996	230.75	209.197692	204.63	0.057603999999999995	0.07606	-0.4343	-0.8975	-0.07658	0.9435479999999999	0.807092	0.027663	0.059209000000000005	0.997862	0.930167	-0.367115	-0.0040030000000000005	0.366093	0.9282889999999999	-0.06523	97.38	45	0.9996729999999999	2.25717e+16	-4.31369e+16	-1521280000000000.0	387775.0	26.4646	-239.37	293.65	246.68	27.177658	33.45892	32.864624	27179.542	33458.881	32862.367	14193494	78558900000.0	0.082098	0.028463	-0.494662	-0.8677530000000001	-0.048108	0.964925	0.884344	0.824456	-0.465164	0.322326	-0.323499	0.079956	0.942844	0.46434899999999996	0.881606	0.08456	1865750000000000.0	-3283620000000000.0	15766703	67904200000.0	0.017769999999999998	0.012348	-0.518328	-0.855158	-0.006372	0.84898	0.5177930000000001	0.48701300000000003	-0.452516	0.747026	0.590815	-0.459233	-0.663357	0.643239	0.764418	0.043701	2153300000000000.0	-7849620000000000.0	2.8213128897467707	6.871589251655848	12.18930545743448	15.993910350364509	24.368024223818807	10.401310886611695	2.8103718958390025
592	0.0012755	0	-1	1069	1078090000000.0	67680722	27177.69033502	33458.79231806	32864.34404126	-150.46	161.69	111.07	212.15	20.91	0.06043	0.38747	3.00733	231.23	209.203646	204.61	0.057603999999999995	0.076055	-0.4342	-0.8976	-0.07653	0.943543	0.807109	0.029377999999999998	0.05839400000000001	0.9978610000000001	0.9300450000000001	-0.367399	-0.005882	0.366269	0.9282290000000001	-0.065103	97.39	45	0.9996729999999999	2.25678e+16	-4.31302e+16	-1525190000000000.0	387601.0	26.6466	-125.93	199.99	268.2	27.177919	33.458512	32.864206	27179.783	33458.622	32862.191	14194400	78563500000.0	0.082098	0.028492	-0.49463599999999996	-0.867769	-0.048089	0.964923	0.884324	0.8248780000000001	-0.465291	0.321062	-0.32253200000000004	0.079073	0.94325	0.46427299999999994	0.881619	0.084846	1861400000000000.0	-3282100000000000.0	15763922	67890400000.0	0.017768	0.012343000000000002	-0.518285	-0.855184	-0.006365	0.8490059999999999	0.517664	0.487666	-0.45271300000000003	0.74648	0.590413	-0.458846	-0.663983	0.643113	0.764534	0.043524	2154620000000000.0	-7847290000000000.0	2.8239099417706863	6.870073418837391	12.205699911759622	16.007244680562078	24.39319336955257	10.399957896408004	2.8128932458276568
591	0.0014352	0	-1	1054	1078030000000.0	67676579	27177.94449439	33458.53140449	32864.17138548	-150.46	161.7	111.07	212.16	21.12	0.030019999999999998	0.45343	3.0005	230.9	209.209034	204.6	0.057608000000000006	0.076058	-0.434	-0.8976	-0.07646	0.9435319999999999	0.807113	0.031092	0.05757	0.997857	0.929916	-0.367691	-0.007762000000000001	0.366456	0.928164	-0.064967	97.41	45	0.9996719999999999	2.25631e+16	-4.3125e+16	-1518980000000000.0	387821.0	26.519000000000002	-111.09	64.18	210.73	27.178093	33.458296999999995	32.863812	27180.023999999998	33458.362	32862.015	14194959	78566700000.0	0.082101	0.028508999999999996	-0.49460600000000005	-0.8677860000000001	-0.048081	0.9649190000000001	0.884302	0.8252	-0.465371	0.320116	-0.321806	0.078415	0.9435530000000001	0.464204	0.8816350000000001	0.085051	1858430000000000.0	-3280710000000000.0	15761191	67876400000.0	0.017761000000000002	0.012338	-0.518247	-0.855208	-0.006361	0.849046	0.517494	0.48841	-0.452912	0.745873	0.589967	-0.458412	-0.664679	0.642957	0.764676	0.04331	2154050000000000.0	-7846400000000000.0	2.8260781050909443	6.8672194422849735	12.221616505471314	16.022227210898976	24.411319026159298	10.398614908782458	2.8146815595235655
