#redshift(0)	 ID(1)	hostHalo(2)	numSubStruct(3)	Mvir(4)	npart(5)	Xc(6)	Yc(7)	Zc(8)	VXc(9)	VYc(10)	VZc(11)	Rvir(12)	Rmax(13)	r2(14)	mbp_offset(15)	com_offset(16)	Vmax(17)	v_esc(18)	sigV(19)	lambda(20)	lambdaE(21)	Lx(22)	Ly(23)	Lz(24)	b(25)	c(26)	Eax(27)	Eay(28)	Eaz(29)	Ebx(30)	Eby(31)	Ebz(32)	Ecx(33)	Ecy(34)	Ecz(35)	ovdens(36)	nbins(37)	fMhires(38)	Ekin(39)	Epot(40)	SurfP(41)	Phi0(42)	cNFW(43)	mbp_Vx(44)	mbp_Vy(45)	mbp_Vz(46)	mbp_x(47)	mbp_y(48)	mbp_z(49)	com_x(50)	com_y(51)	com_z(52)	n_gas(53)	M_gas(54)	lambda_gas(55)	lambdaE_gas(56)	Lx_gas(57)	Ly_gas(58)	Lz_gas(59)	b_gas(60)	c_gas(61)	Eax_gas(62)	Eay_gas(63)	Eaz_gas(64)	Ebx_gas(65)	Eby_gas(66)	Ebz_gas(67)	Ecx_gas(68)	Ecy_gas(69)	Ecz_gas(70)	Ekin_gas(71)	Epot_gas(72)	n_star(73)	M_star(74)	lambda_star(75)	lambdaE_star(76)	Lx_star(77)	Ly_star(78)	Lz_star(79)	b_star(80)	c_star(81)	Eax_star(82)	Eay_star(83)	Eaz_star(84)	Ebx_star(85)	Eby_star(86)	Ebz_star(87)	Ecx_star(88)	Ecy_star(89)	Ecz_star(90)	Ekin_star(91)	Epot_star(92)	
0.000000	         0	        -1	       873	 8.03138e+11	  51515932	  29396.78224867	  30973.90589662	  32472.74799320	  -44.81	   71.54	   95.47	    192.21	     23.22	   0.06414	   0.34286	   2.44146	  201.57	  189.580680	  191.70	  0.020432	    0.027759	      0.2845	      0.1894	     -0.9398	  0.884777	  0.837145	  0.233695	  0.931039	 -0.280273	  0.943450	 -0.286843	 -0.166202	  0.235135	  0.225583	  0.945423	   97.29	    44	0.999425	 1.47568e+16	-2.80772e+16	-8.93407e+14	      385991	     23.4016	 -204.66	   79.35	  156.83	       29.396616	        30.97362	       32.472657	       29396.444	       30971.756	       32473.855	  11003279	 5.95196e+10	  0.056481	  0.019425	  0.069742	  0.205432	 -0.976183	  0.967761	  0.918982	  0.043855	  0.985963	 -0.161100	  0.995794	 -0.030155	  0.086521	 -0.080449	  0.164217	  0.983138	 1.12239e+15	-1.97591e+15	  12679355	 5.62165e+10	  0.013233	  0.010296	 -0.199601	 -0.017256	 -0.979725	  0.525706	  0.372294	  0.616344	  0.780506	 -0.104547	  0.784997	 -0.619492	  0.002969	  0.062449	  0.083899	  0.994516	 1.80528e+15	-6.17398e+15
0.000000	         0	        -1	       875	 8.03077e+11	  51512087	  29396.87050111	  30973.80901737	  32472.58617020	  -44.81	   71.54	   95.47	    192.21	     23.19	   0.01749	   0.23663	   2.46334	  201.62	  189.584198	  191.70	  0.020445	    0.027775	      0.2844	      0.1895	     -0.9398	  0.884549	  0.837015	  0.233994	  0.930844	 -0.280670	  0.943535	 -0.287046	 -0.165365	  0.234494	  0.226128	  0.945452	   97.30	    44	0.999425	 1.47567e+16	-2.80743e+16	-8.93755e+14	      385404	      23.418	 -230.35	  -72.51	  -21.92	       29.397004	       30.973617	        32.47255	       29396.524	        30971.64	       32473.701	  11002780	 5.95174e+10	  0.056493	  0.019412	  0.069753	  0.205384	 -0.976193	  0.967699	  0.919009	  0.043478	  0.985763	 -0.162420	  0.995789	 -0.029626	  0.086751	 -0.080704	  0.165508	  0.982901	 1.12416e+15	-1.97616e+15	  12678147	 5.62102e+10	  0.013232	  0.010295	 -0.199614	 -0.017225	 -0.979723	  0.525703	  0.372321	  0.615588	  0.781081	 -0.104703	  0.785581	 -0.618752	  0.002857	  0.062553	  0.084012	  0.994499	 1.80421e+15	-6.17258e+15
0.000000	         0	        -1	       885	  8.0302e+11	  51508468	  29396.95655944	  30973.67549677	  32472.44661358	  -44.80	   71.55	   95.46	    192.22	     23.08	   0.04603	   0.27635	   2.44978	  201.77	  189.588180	  191.71	  0.020465	    0.027802	      0.2842	      0.1894	     -0.9399	  0.884344	  0.836874	  0.234487	  0.930657	 -0.280880	  0.943550	 -0.287422	 -0.164630	  0.233945	  0.226421	  0.945518	   97.31	    44	0.999425	 1.47562e+16	-2.80737e+16	-8.93018e+14	      385364	     23.4777	  -14.81	  -81.60	   63.15	         29.3972	       30.973763	       32.472543	       29396.602	       30971.518	       32473.551	  11002195	 5.95136e+10	  0.056510	  0.019403	  0.069708	  0.205385	 -0.976196	  0.967683	  0.919062	  0.043381	  0.985610	 -0.163374	  0.995785	 -0.029430	  0.086868	 -0.080810	  0.166454	  0.982732	 1.12572e+15	-1.97643e+15	  12677035	 5.62054e+10	  0.013232	  0.010297	 -0.199628	 -0.017194	 -0.979721	  0.525748	  0.372435	  0.614963	  0.781562	 -0.104790	  0.786054	 -0.618153	  0.002565	  0.062772	  0.083948	  0.994491	 1.80288e+15	-6.17264e+15
0.000000	         0	        -1	       867	 8.02971e+11	  51505104	  29396.97593101	  30973.56712470	  32472.30227528	  -44.80	   71.55	   95.46	    192.23	     23.24	   0.03455	   0.25993	   2.44973	  201.54	  189.592742	  191.71	  0.020483	    0.027822	      0.2841	       0.189	       -0.94	  0.884154	  0.836740	  0.234713	  0.930528	 -0.281118	  0.943654	 -0.287524	 -0.163849	  0.233294	  0.226821	  0.945583	   97.33	    44	0.999425	  1.4756e+16	-2.80693e+16	-8.92741e+14	      384323	     23.3852	  151.37	   50.37	  190.60	       29.397081	       30.973803	       32.472335	       29396.672	       30971.399	       32473.401	  11001733	 5.95114e+10	  0.056517	  0.019389	  0.069594	  0.205375	 -0.976206	  0.967720	  0.919134	  0.041930	  0.985520	 -0.164290	  0.995811	 -0.027850	  0.087086	 -0.081250	  0.167254	  0.982560	 1.12751e+15	-1.97678e+15	  12675766	 5.61989e+10	  0.013234	  0.010297	 -0.199625	 -0.017195	 -0.979722	  0.525961	  0.372529	  0.614031	  0.782282	 -0.104889	  0.786765	 -0.617249	  0.002240	  0.062990	  0.083898	  0.994481	 1.80161e+15	-6.16958e+15
0.001000	         0	        -1	       869	 8.02912e+11	  51501325	  29397.11847528	  30973.42060460	  32472.14313646	  -44.79	   71.55	   95.45	    192.24	     23.57	   0.02550	   1.90044	   2.43996	  201.09	  189.596432	  191.72	  0.020500	    0.027848	      0.2839	      0.1891	       -0.94	  0.883960	  0.836646	  0.235271	  0.930281	 -0.281468	  0.943654	 -0.287983	 -0.163042	  0.232733	  0.227250	  0.945618	   97.34	    44	0.999425	 1.47563e+16	-2.80708e+16	-8.92317e+14	      384833	     23.2054	 -333.60	   67.27	  166.96	       29.396996	       30.971528	       32.472017	       29396.757	       30971.274	       32473.246	  11001304	 5.95088e+10	  0.056536	  0.019386	  0.069694	  0.205425	 -0.976188	  0.967680	  0.919197	  0.042859	  0.985279	 -0.165495	  0.995740	 -0.028589	  0.087667	 -0.081645	  0.168547	  0.982307	 1.12923e+15	-1.97762e+15	  12674467	 5.61931e+10	  0.013232	  0.010298	 -0.199663	 -0.017225	 -0.979713	  0.525819	  0.372549	  0.613574	  0.782616	 -0.105071	  0.787103	 -0.616819	  0.002035	  0.063217	  0.083950	  0.994463	 1.80076e+15	 -6.1708e+15
0.001000	         0	        -1	       866	 8.02867e+11	  51498090	  29397.14449256	  30973.32169734	  32472.00901664	  -44.78	   71.55	   95.45	    192.25	     23.64	   0.05091	   1.90929	   2.44247	  200.99	  189.601226	  191.73	  0.020515	    0.027863	      0.2837	      0.1888	     -0.9401	  0.883765	  0.836504	  0.235441	  0.930196	 -0.281608	  0.943760	 -0.288025	 -0.162354	  0.232131	  0.227545	  0.945695	   97.35	    44	0.999425	 1.47569e+16	-2.80675e+16	-8.92762e+14	      384688	     23.1643	 -332.02	    4.95	  152.36	       29.397528	       30.971467	       32.471763	       29396.827	       30971.158	       32473.097	  11000960	 5.95071e+10	  0.056545	  0.019374	  0.069551	  0.205352	 -0.976214	  0.967680	  0.919234	  0.042099	  0.985177	 -0.166296	  0.995754	 -0.027735	  0.087775	 -0.081862	  0.169285	  0.982162	 1.13099e+15	-1.97805e+15	  12673071	  5.6186e+10	  0.013233	  0.010297	 -0.199719	 -0.017256	 -0.979701	  0.526004	  0.372658	  0.612607	  0.783366	 -0.105117	  0.787838	 -0.615880	  0.001671	  0.063431	  0.083838	  0.994458	 1.79983e+15	-6.16866e+15
0.001000	         0	        -1	       867	  8.0282e+11	  51494783	  29397.27072930	  30973.14741569	  32471.84227969	  -44.78	   71.56	   95.44	    192.26	     23.09	   0.03864	   0.26429	   2.41380	  201.76	  189.605930	  191.74	  0.020538	    0.027895	      0.2833	      0.1888	     -0.9403	  0.883582	  0.836407	  0.236147	  0.929913	 -0.281951	  0.943702	 -0.288643	 -0.161590	  0.231648	  0.227919	  0.945723	   97.37	    44	0.999425	 1.47569e+16	 -2.8067e+16	-8.92324e+14	      383871	     23.4658	 -228.61	   55.24	  105.10	       29.397136	       30.973002	       32.472017	       29396.911	       30971.029	       32472.942	  11000754	 5.95067e+10	  0.056559	  0.019374	  0.069684	  0.205446	 -0.976185	  0.967696	  0.919329	  0.043252	  0.984933	 -0.167438	  0.995663	 -0.028677	  0.088505	 -0.082370	  0.170540	  0.981902	 1.13259e+15	-1.97921e+15	  12671518	 5.61775e+10	  0.013233	  0.010296	 -0.199697	 -0.017337	 -0.979704	  0.525993	  0.372765	  0.612182	  0.783671	 -0.105317	  0.788154	 -0.615475	  0.001555	  0.063601	  0.083958	  0.994437	 1.79917e+15	-6.16735e+15
0.001000	         0	        -1	       869	 8.02766e+11	  51491335	  29397.39347698	  30973.05678128	  32471.68073398	  -44.77	   71.56	   95.44	    192.27	     23.39	   0.03400	   0.08931	   2.44324	  201.33	  189.610081	  191.75	  0.020545	    0.027900	      0.2832	      0.1891	     -0.9402	  0.883394	  0.836320	  0.236369	  0.929767	 -0.282245	  0.943738	 -0.288817	 -0.161073	  0.231277	  0.228292	  0.945724	   97.38	    44	0.999425	 1.47576e+16	-2.80631e+16	-8.91512e+14	      383796	     23.2949	 -167.08	  -82.68	  308.38	       29.397478	       30.973027	       32.471677	       29396.994	       30970.916	       32472.788	  11000641	 5.95071e+10	  0.056567	  0.019363	  0.069758	  0.205372	 -0.976195	  0.967622	  0.919335	  0.042729	  0.984767	 -0.168546	  0.995665	 -0.028021	  0.088696	 -0.082622	  0.171605	  0.981695	 1.13434e+15	 -1.9798e+15	  12670020	  5.6169e+10	  0.013232	  0.010292	 -0.199667	 -0.017371	 -0.979710	  0.526033	  0.372806	  0.611430	  0.784243	 -0.105433	  0.788709	 -0.614766	  0.001080	  0.063970	  0.083817	  0.994426	 1.79909e+15	-6.16467e+15
0.001000	         0	        -1	       851	 8.02719e+11	  51487972	  29397.41714552	  30972.93309042	  32471.54265226	  -44.77	   71.56	   95.43	    192.28	     23.10	   0.02722	   0.11152	   2.42806	  201.74	  189.614840	  191.78	  0.020564	    0.027924	       0.283	      0.1887	     -0.9404	  0.883195	  0.836173	  0.236640	  0.929647	 -0.282415	  0.943835	 -0.288941	 -0.160274	  0.230600	  0.228626	  0.945809	   97.39	    44	0.999425	 1.47619e+16	-2.80663e+16	-8.91257e+14	      384367	     23.4524	 -464.84	   70.87	 -135.87	       29.397397	       30.972862	       32.471459	       29397.064	       30970.795	       32472.638	  11000303	 5.95049e+10	  0.056583	  0.019359	  0.069581	  0.205315	 -0.976219	  0.967660	  0.919394	  0.041856	  0.984635	 -0.169534	  0.995686	 -0.027043	  0.088761	 -0.082812	  0.172517	  0.981519	 1.13565e+15	-1.98023e+15	  12668506	 5.61618e+10	  0.013231	  0.010292	 -0.199711	 -0.017409	 -0.979700	  0.526299	  0.372987	  0.610460	  0.784988	 -0.105513	  0.789444	 -0.613823	  0.000764	  0.064166	  0.083763	  0.994418	 1.80239e+15	-6.16842e+15
0.001000	         0	        -1	       871	 8.02665e+11	  51484349	  29397.49605664	  30972.83343838	  32471.37585051	  -44.76	   71.56	   95.43	    192.29	     23.05	   0.03680	   0.19334	   2.44765	  201.81	  189.618940	  191.79	  0.020575	    0.027937	      0.2829	      0.1888	     -0.9404	  0.882989	  0.836066	  0.236905	  0.929481	 -0.282738	  0.943889	 -0.289131	 -0.159617	  0.230109	  0.229059	  0.945823	   97.41	    44	0.999425	 1.47625e+16	-2.80652e+16	-8.91598e+14	      384706	     23.4792	  -41.15	  213.94	 -289.93	       29.397533	       30.973023	        32.47138	       29397.142	        30970.68	       32472.483	  11000095	 5.95049e+10	  0.056592	  0.019347	  0.069617	  0.205264	 -0.976227	  0.967629	  0.919431	  0.041208	  0.984462	 -0.170693	  0.995660	 -0.026192	  0.089306	 -0.083447	  0.173632	  0.981269	 1.13775e+15	-1.98102e+15	  12666941	 5.61528e+10	  0.013230	  0.010292	 -0.199667	 -0.017420	 -0.979709	  0.526357	  0.373041	  0.609639	  0.785599	 -0.105713	  0.790074	 -0.613011	  0.000752	  0.064212	  0.083980	  0.994396	  1.8019e+15	-6.16809e+15
