snum	redshift	ID	hostHalo	numSubStruct	Mvir	npart	Xc	Yc	Zc	VXc	VYc	VZc	Rvir	Rmax	r2	mbp_offset	com_offset	Vmax	v_esc	sigV	lambda	lambdaE	Lx	Ly	Lz	b	c	Eax	Eay	Eaz	Ebx	Eby	Ebz	Ecx	Ecy	Ecz	ovdens	nbins	fMhires	Ekin	Epot	SurfP	Phi0	cNFW	mbp_Vx	mbp_Vy	mbp_Vz	mbp_x	mbp_y	mbp_z	com_x	com_y	com_z	n_gas	M_gas	lambda_gas	lambdaE_gas	Lx_gas	Ly_gas	Lz_gas	b_gas	c_gas	Eax_gas	Eay_gas	Eaz_gas	Ebx_gas	Eby_gas	Ebz_gas	Ecx_gas	Ecy_gas	Ecz_gas	Ekin_gas	Epot_gas	n_star	M_star	lambda_star	lambdaE_star	Lx_star	Ly_star	Lz_star	b_star	c_star	Eax_star	Eay_star	Eaz_star	Ebx_star	Eby_star	Ebz_star	Ecx_star	Ecy_star	Ecz_star	Ekin_star	Epot_star	Rstar0.5	Rstar0.75	Rstar0.9	Rstar0.95	Rstar0.99	cAnalytic
600	0.0	0	-1	885	7.03787e+11	37902291	62088.7000326	65031.1862837	61938.6774417	173.17	384.43	199.25	180.68	29.31	0.08711	0.01202	12.51076	149.94	182.933971	157.44	0.066547	0.066386	-0.8031	-0.2786	-0.5267	0.930779	0.86604	0.656305	-0.450154	-0.605496	0.74675	0.272853	0.60656	0.107833	0.850243	-0.515227	102.5	43	1.0	8.7125e+15	-1.45653e+16	-7.08803e+14	153401.0	8.34943	25.22	331.93	26.34	62.088689	65.031188	61.938673	62098.761	65029.282	61945.866	9432363	49113000000.0	0.100256	0.026743	-0.865689	-0.192538	-0.462074	0.920166	0.84385	0.833946	-0.473189	-0.283948	0.419356	0.208936	0.883451	0.358713	0.855826	-0.372676	6.2692e+14	-1.04539e+15	4379238	16638900000.0	0.017067	0.005521	-0.848428	-0.288088	-0.444044	0.463448	0.23217	0.957924	-0.27193	0.091842	0.177496	0.812704	0.554984	-0.225558	-0.515331	0.826775	1.57059e+14	-7.72437e+14	3.25509543443	6.65770543155	10.8405750282	14.60741963	22.985213496	11.1171215789
599	0.0001593	0	-1	895	7.03787e+11	37902156	62088.4294861	65030.5564648	61938.3723627	173.17	384.44	199.25	180.7	29.18	0.08724	0.01383	12.49583	150.01	182.943665	157.49	0.066558	0.066389	-0.8032	-0.2787	-0.5265	0.930507	0.866059	0.651194	-0.451457	-0.610027	0.751414	0.270844	0.601682	0.106411	0.850194	-0.515603	102.52	43	1.0	8.71835e+15	-1.45706e+16	-7.0431e+14	153328.0	8.36585	180.65	444.63	147.31	62.088431	65.030554	61.938359	62098.48	65028.668	61945.553	9432182	49111300000.0	0.100246	0.026731	-0.865636	-0.192904	-0.462021	0.920393	0.844045	0.832601	-0.473931	-0.286643	0.421753	0.207024	0.88276	0.359026	0.85588	-0.372251	6.27233e+14	-1.04547e+15	4378660	16636900000.0	0.017072	0.005523	-0.848276	-0.287291	-0.444851	0.464372	0.232519	0.957958	-0.271992	0.091306	0.177691	0.812306	0.555505	-0.225261	-0.515926	0.826485	1.56868e+14	-7.72413e+14	3.26019450429	6.65824357193	10.8513764464	14.6048409734	23.0214146108	11.1154875521
598	0.0003186	0	-1	902	7.03787e+11	37901932	62088.1582054	65029.9086746	61938.0682841	173.16	384.45	199.25	180.71	34.74	0.10362	0.03302	12.47823	148.45	182.953276	157.55	0.066569	0.066388	-0.8032	-0.2788	-0.5265	0.930252	0.866061	0.645952	-0.4527	-0.614661	0.756181	0.269149	0.596447	0.104576	0.850072	-0.51618	102.53	43	1.0	8.72505e+15	-1.45758e+16	-7.0093e+14	152953.0	7.9383	265.49	121.27	270.12	62.088166	65.029941	61.938066	62098.199	65028.049	61945.24	9431982	49109500000.0	0.100236	0.026709	-0.865559	-0.193279	-0.462007	0.920631	0.844265	0.831222	-0.474622	-0.289489	0.424419	0.205426	0.881855	0.35908	0.855882	-0.372194	6.27861e+14	-1.04553e+15	4378072	16635000000.0	0.017079	0.005525	-0.848021	-0.286323	-0.44596	0.465411	0.23286	0.958035	-0.271897	0.09078	0.177791	0.812039	0.555862	-0.224854	-0.516395	0.826303	1.56772e+14	-7.72295e+14	3.26381630558	6.65810123181	10.8633268785	14.6061421941	23.0484097283	11.1138548546
597	0.0004779	0	-1	905	7.03787e+11	37901608	62087.8844997	65029.2555179	61937.758293	173.16	384.45	199.25	180.72	34.53	0.09387	0.02102	12.46464	148.54	182.962977	157.6	0.066577	0.066389	-0.8032	-0.2788	-0.5264	0.930034	0.866074	0.640662	-0.453944	-0.619264	0.760932	0.26755	0.5911	0.102642	0.849913	-0.516829	102.55	43	1.0	8.73083e+15	-1.45809e+16	-7.06745e+14	152757.0	7.96218	37.26	671.55	22.97	62.087881	65.029236	61.937766	62097.919	65027.431	61944.924	9431725	49107500000.0	0.100221	0.026699	-0.865478	-0.193683	-0.461991	0.920902	0.844479	0.829857	-0.475239	-0.292377	0.427123	0.203886	0.880907	0.35903	0.855908	-0.372182	6.28046e+14	-1.0456e+15	4377381	16632300000.0	0.017085	0.005526	-0.847772	-0.285168	-0.44717	0.466503	0.23319	0.958124	-0.271745	0.090294	0.177837	0.811821	0.556166	-0.224438	-0.516818	0.826152	1.56611e+14	-7.72188e+14	3.26788050999	6.65828061094	10.8733316944	14.6116165522	23.0706768731	11.1122242353
596	0.0006373	0	-1	897	7.03787e+11	37901532	62087.6111908	65028.6104208	61937.4466731	173.16	384.46	199.25	180.74	34.51	0.09142	0.01461	12.45225	148.59	182.972791	157.66	0.066588	0.066386	-0.8032	-0.2789	-0.5263	0.92978	0.86608	0.635471	-0.455127	-0.623728	0.765504	0.265806	0.585961	0.100896	0.849827	-0.517314	102.56	43	1.0	8.7376e+15	-1.45861e+16	-7.07091e+14	152780.0	7.97337	150.26	473.02	236.13	62.087616	65.028623	61.937453	62097.637	65026.813	61944.609	9431865	49107700000.0	0.100207	0.026683	-0.865424	-0.194053	-0.461937	0.921156	0.844687	0.828549	-0.475884	-0.295027	0.42962	0.20242	0.88003	0.359073	0.855897	-0.372164	6.28553e+14	-1.04578e+15	4376516	16628800000.0	0.017093	0.005528	-0.847544	-0.284094	-0.448285	0.467548	0.233571	0.958199	-0.271632	0.089841	0.177841	0.811464	0.556685	-0.224116	-0.517438	0.825851	1.56622e+14	-7.72055e+14	3.27371615871	6.6593478135	10.8926536368	14.614755802	23.0894404797	11.110587674
595	0.0007968	0	-1	878	7.03787e+11	37901402	62087.3420178	65027.9610884	61937.13389	173.15	384.47	199.25	180.75	34.46	0.08515	0.02309	12.43637	148.65	182.982773	157.71	0.066597	0.066386	-0.8033	-0.279	-0.5262	0.929507	0.866076	0.630199	-0.456321	-0.628188	0.770079	0.264047	0.580739	0.099132	0.849736	-0.517805	102.57	43	1.0	8.74376e+15	-1.45915e+16	-7.08272e+14	152793.0	7.9868	145.86	541.57	332.71	62.087351	65.02794	61.937132	62097.357	65026.194	61944.293	9431884	49107600000.0	0.100192	0.026669	-0.86535	-0.194474	-0.461897	0.921443	0.844912	0.827123	-0.476534	-0.297963	0.432366	0.200815	0.879052	0.359063	0.855914	-0.372136	6.29023e+14	-1.04597e+15	4375653	16624800000.0	0.017097	0.005529	-0.847272	-0.283084	-0.449437	0.468641	0.233949	0.958271	-0.271528	0.089381	0.177862	0.811119	0.557182	-0.223789	-0.518033	0.825566	1.56555e+14	-7.71963e+14	3.27827542645	6.65773544004	10.9122221033	14.6179052911	23.1118332646	11.1089486774
594	0.0009563	0	-1	875	7.03787e+11	37901145	62087.0689374	65027.3120488	61936.8187798	173.15	384.48	199.24	180.76	34.26	0.09361	0.00996	12.42551	148.74	182.992633	157.78	0.066607	0.066382	-0.8033	-0.2791	-0.5262	0.929254	0.866076	0.624988	-0.457419	-0.632581	0.774537	0.262265	0.575595	0.097384	0.849697	-0.5182	102.59	43	1.0	8.75063e+15	-1.45967e+16	-7.03816e+14	152626.0	8.00844	262.85	329.53	194.1	62.087079	65.027312	61.936818	62097.076	65025.575	61943.977	9431610	49105700000.0	0.100178	0.026641	-0.865295	-0.19488	-0.46183	0.921748	0.845129	0.825761	-0.477187	-0.300685	0.4349	0.199236	0.878161	0.35914	0.855919	-0.37205	6.29826e+14	-1.04609e+15	4374970	16622200000.0	0.017101	0.00553	-0.847017	-0.281968	-0.450617	0.469714	0.234355	0.958352	-0.271379	0.088966	0.177808	0.810755	0.557728	-0.223485	-0.518681	0.825242	1.566e+14	-7.71946e+14	3.28099188361	6.65522253183	10.9338120433	14.6203870039	23.134439018	11.1073117607
593	0.0011159	0	-1	878	7.03787e+11	37901046	62086.8034443	65026.6687124	61936.507597	173.15	384.48	199.24	180.77	34.21	0.07322	0.02311	12.40784	148.79	183.00262	157.83	0.066617	0.066382	-0.8033	-0.2792	-0.5261	0.928932	0.866063	0.619753	-0.458494	-0.636938	0.778942	0.260422	0.570464	0.095682	0.849685	-0.518537	102.6	43	1.0	8.75697e+15	-1.4602e+16	-7.073e+14	152408.0	8.02038	210.12	417.46	184.52	62.086793	65.026657	61.936491	62096.795	65024.957	61943.662	9431467	49104400000.0	0.100169	0.026624	-0.865202	-0.195265	-0.46184	0.922	0.845358	0.824246	-0.477914	-0.303672	0.437602	0.197305	0.877254	0.359336	0.855961	-0.371765	6.30393e+14	-1.04623e+15	4374328	16619700000.0	0.017105	0.005531	-0.846885	-0.280905	-0.451528	0.470788	0.234745	0.958407	-0.271343	0.088482	0.17789	0.810367	0.558265	-0.223184	-0.519305	0.824931	1.56576e+14	-7.71938e+14	3.28515807934	6.6526011691	10.9540910475	14.6219662187	23.1568673936	11.1056741613
592	0.0012755	0	-1	880	7.03787e+11	37900939	62086.5276903	65026.0097421	61936.2041359	173.14	384.49	199.24	180.79	34.05	0.10093	0.01584	12.39196	148.87	183.01234	157.89	0.066626	0.066379	-0.8033	-0.2793	-0.526	0.928652	0.866027	0.614645	-0.459486	-0.641158	0.783238	0.259121	0.565151	0.093541	0.849546	-0.519154	102.62	43	1.0	8.76384e+15	-1.46075e+16	-7.05042e+14	152724.0	8.03978	77.32	407.61	291.21	62.086521	65.026023	61.936198	62096.514	65024.338	61943.348	9431286	49102300000.0	0.100155	0.026601	-0.865086	-0.195723	-0.461865	0.922269	0.845565	0.822904	-0.478399	-0.306534	0.440364	0.196091	0.876144	0.359038	0.855969	-0.372034	6.31057e+14	-1.04635e+15	4373797	16618500000.0	0.017113	0.005533	-0.84661	-0.279851	-0.452698	0.471875	0.235112	0.958521	-0.271107	0.087969	0.177898	0.810199	0.558507	-0.222687	-0.519692	0.824822	1.56669e+14	-7.72051e+14	3.29002293861	6.65101389921	10.9766950318	14.6319985814	23.1819571227	11.1040386411
591	0.0014352	0	-1	865	7.03787e+11	37900613	62086.2630865	65025.3611188	61935.8817412	173.14	384.5	199.24	180.8	34.17	0.08938	0.02746	12.37873	148.88	183.02192	157.95	0.066634	0.066374	-0.8033	-0.2794	-0.526	0.928366	0.866027	0.609358	-0.460541	-0.645434	0.787563	0.257316	0.55994	0.091795	0.849524	-0.519502	102.63	43	1.0	8.77079e+15	-1.46128e+16	-7.01994e+14	152681.0	8.04053	18.85	526.39	477.71	62.086242	65.025353	61.935898	62096.234	65023.719	61943.031	9430882	49099500000.0	0.100147	0.026572	-0.865027	-0.196062	-0.461831	0.922581	0.845812	0.821459	-0.47905	-0.30938	0.442959	0.194333	0.875227	0.359155	0.856006	-0.371836	6.31999e+14	-1.04649e+15	4373302	16616900000.0	0.017115	0.005533	-0.846488	-0.278624	-0.453682	0.473039	0.235518	0.958582	-0.271016	0.087588	0.177843	0.809746	0.55918	-0.222471	-0.520443	0.824406	1.56682e+14	-7.72134e+14	3.29318119375	6.64957448181	11.0007439587	14.6312104455	23.2045777414	11.1024059394
