snum	redshift	ID	hostHalo	numSubStruct	Mvir	npart	Xc	Yc	Zc	VXc	VYc	VZc	Rvir	Rmax	r2	mbp_offset	com_offset	Vmax	v_esc	sigV	lambda	lambdaE	Lx	Ly	Lz	b	c	Eax	Eay	Eaz	Ebx	Eby	Ebz	Ecx	Ecy	Ecz	ovdens	nbins	fMhires	Ekin	Epot	SurfP	Phi0	cNFW	mbp_Vx	mbp_Vy	mbp_Vz	mbp_x	mbp_y	mbp_z	com_x	com_y	com_z	n_gas	M_gas	lambda_gas	lambdaE_gas	Lx_gas	Ly_gas	Lz_gas	b_gas	c_gas	Eax_gas	Eay_gas	Eaz_gas	Ebx_gas	Eby_gas	Ebz_gas	Ecx_gas	Ecy_gas	Ecz_gas	Ekin_gas	Epot_gas	n_star	M_star	lambda_star	lambdaE_star	Lx_star	Ly_star	Lz_star	b_star	c_star	Eax_star	Eay_star	Eaz_star	Ebx_star	Eby_star	Ebz_star	Ecx_star	Ecy_star	Ecz_star	Ekin_star	Epot_star	Rstar0.5	Rstar0.75	Rstar0.9	Rstar0.95	Rstar0.99	cAnalytic	sRstar0.5
600	0.0	0	-1	133	1.06257e+11	4848529	30379.4696774	27175.1018205	27618.5558045	79.32	-118.62	-84.06	95.2	19.91	2.11356	0.03968	1.30487	88.41	96.385096	85.24	0.091908	0.100026	-0.8992	-0.1198	0.4209	0.953459	0.783625	0.485229	-0.549808	0.6799	0.278265	0.834245	0.476029	0.828927	0.04179	-0.557793	102.5	37	1.0	3.73547e+14	-6.56375e+14	-4.14317e+13	33403.1	13.6591	76.35	-141.45	-91.56	30.379434	27.175111	27.61857	30379.878	27175.644	27617.441	853736	4375420000.0	0.106655	0.026651	-0.850555	-0.174229	0.496187	0.978243	0.821309	-0.523571	0.624774	-0.57925	0.1451	0.735342	0.66198	0.839535	0.262545	-0.475659	1.72747e+13	-3.21844e+13	316032	1132240000.0	0.016006	0.003571	-0.860334	-0.241081	0.449116	0.776349	0.412218	-0.032716	0.906121	0.421753	0.500281	-0.350464	0.791766	0.865245	0.236898	-0.44185	3.4724e+12	-1.53575e+13	2.44648051335	4.10877887222	7.56478918187	10.2139145366	13.359844517	13.6168766005	2.44648051335
599	0.0001593	0	-1	135	1.06257e+11	4848541	30379.3458586	27175.3210183	27618.6885423	79.32	-118.62	-84.07	95.2	19.8	0.41864	0.04458	1.2929	88.46	96.390452	85.24	0.091912	0.099999	-0.8992	-0.1197	0.4209	0.953221	0.783355	0.485394	-0.549345	0.680157	0.277737	0.834537	0.475827	0.829008	0.042059	-0.557652	102.52	37	1.0	3.73509e+14	-6.56191e+14	-4.14256e+13	33247.5	13.6867	77.24	-140.86	-91.08	30.379315	27.175338	27.618716	30379.753	27175.838	27617.576	853702	4375180000.0	0.106683	0.026602	-0.850622	-0.174146	0.496101	0.978191	0.821245	-0.523876	0.623527	-0.580317	0.144562	0.736488	0.660823	0.839438	0.262297	-0.475967	1.73249e+13	-3.21736e+13	315960	1131930000.0	0.016015	0.003571	-0.860211	-0.241249	0.449262	0.774035	0.410788	-0.032907	0.906026	0.421941	0.499967	-0.350629	0.791891	0.865419	0.237015	-0.441445	3.41667e+12	-1.52917e+13	2.49214689317	4.15692632048	7.60795013909	10.2378267864	13.3629897461	13.6148663769	2.49294525529
598	0.0003186	0	-1	141	1.06257e+11	4848437	30379.214556	27175.5149477	27618.8195393	79.31	-118.62	-84.08	95.21	19.72	0.53959	0.01939	1.28979	88.51	96.395409	85.23	0.091919	0.099971	-0.8991	-0.1197	0.421	0.953004	0.783053	0.48569	-0.548536	0.680598	0.277088	0.835058	0.475289	0.829052	0.042257	-0.557572	102.53	37	1.0	3.73482e+14	-6.55997e+14	-4.14207e+13	33114.8	13.7158	115.26	-15.94	-53.57	30.379232	27.175516	27.61881	30379.626	27176.027	27617.709	853609	4374670000.0	0.106697	0.026566	-0.850676	-0.174101	0.496023	0.978003	0.82112	-0.525189	0.616426	-0.586681	0.139819	0.74255	0.655034	0.839421	0.261988	-0.476168	1.7365e+13	-3.21712e+13	315870	1131540000.0	0.01603	0.003571	-0.860148	-0.241454	0.449272	0.771637	0.409311	-0.033264	0.906284	0.421357	0.499849	-0.349992	0.792248	0.865474	0.236969	-0.441363	3.36898e+12	-1.52223e+13	2.54137435573	4.21080420713	7.65434575358	10.2713149242	13.3729941754	13.612857805	2.55702013348
597	0.0004779	0	-1	132	1.06257e+11	4848377	30379.0781745	27175.7291906	27618.9518385	79.31	-118.62	-84.08	95.22	19.86	0.49661	0.05488	1.28303	88.54	96.400526	85.23	0.091923	0.09994	-0.8991	-0.1196	0.421	0.95281	0.782784	0.486136	-0.547449	0.681155	0.276137	0.835752	0.474623	0.829108	0.042639	-0.55746	102.55	37	1.0	3.73461e+14	-6.55811e+14	-4.14393e+13	32970.0	13.7329	123.26	-207.85	-156.14	30.379075	27.175679	27.618929	30379.498	27176.22	27617.843	853510	4374070000.0	0.10673	0.026543	-0.850728	-0.174091	0.495938	0.977934	0.821036	-0.526029	0.612876	-0.589641	0.13735	0.745433	0.652276	0.839302	0.262129	-0.476298	1.73885e+13	-3.21619e+13	315801	1131270000.0	0.016045	0.003572	-0.859989	-0.241679	0.449455	0.769171	0.407819	-0.033531	0.906454	0.42097	0.499756	-0.34956	0.792497	0.865517	0.236956	-0.441285	3.32209e+12	-1.51591e+13	2.58822820449	4.26085295276	7.69709278405	10.2987578008	13.3739009823	13.6108496279	2.6068628856
596	0.0006373	0	-1	135	1.06257e+11	4848361	30378.9495709	27175.9321304	27619.0990032	79.3	-118.62	-84.09	95.23	19.7	0.25614	0.03914	1.28744	88.6	96.406151	85.23	0.091932	0.099913	-0.8991	-0.1195	0.4211	0.952537	0.782456	0.486343	-0.547021	0.681351	0.275573	0.836014	0.474489	0.829174	0.043003	-0.557333	102.56	37	1.0	3.7345e+14	-6.55638e+14	-4.14664e+13	32827.6	13.7643	-22.52	-204.58	-76.86	30.378928	27.175911	27.619074	30379.373	27176.41	27617.981	853416	4373480000.0	0.106753	0.026557	-0.850785	-0.174065	0.495849	0.977901	0.82092	-0.527073	0.607521	-0.594233	0.133445	0.749738	0.64814	0.839278	0.26232	-0.476237	1.73751e+13	-3.21598e+13	315711	1130900000.0	0.016065	0.003572	-0.859863	-0.242059	0.449492	0.766699	0.406302	-0.033774	0.906617	0.4206	0.499616	-0.349167	0.792759	0.865589	0.236913	-0.441167	3.28176e+12	-1.50932e+13	2.63880651303	4.314292891	7.7386613944	10.3280455364	13.3709049497	13.6088273216	2.70814025447
595	0.0007968	0	-1	128	1.06257e+11	4848299	30378.8186359	27176.1508922	27619.2313988	79.3	-118.62	-84.09	95.23	19.62	2.05325	0.05697	1.2783	88.65	96.411096	85.23	0.091938	0.099888	-0.899	-0.1195	0.4212	0.952349	0.782209	0.486707	-0.546151	0.681788	0.27462	0.836556	0.474087	0.829277	0.043508	-0.557141	102.57	37	1.0	3.73439e+14	-6.55481e+14	-4.1439e+13	32692.0	13.7919	76.27	-81.52	-6.94	30.378803	27.176204	27.619218	30379.246	27176.604	27618.115	853391	4373320000.0	0.10678	0.026546	-0.850895	-0.174009	0.495679	0.977894	0.820709	-0.527461	0.604976	-0.59648	0.131412	0.751736	0.646238	0.839354	0.262481	-0.476013	1.73937e+13	-3.21609e+13	315612	1130450000.0	0.016089	0.003574	-0.859804	-0.242221	0.449517	0.763839	0.404533	-0.033539	0.906555	0.420753	0.498967	-0.349582	0.792984	0.865972	0.236537	-0.440616	3.24002e+12	-1.50312e+13	2.69077146657	4.36859023539	7.77969265089	10.3584984594	13.3828416084	13.6068307279	2.81623372035
594	0.0009563	0	-1	126	1.06257e+11	4848293	30378.6888187	27176.3530808	27619.3707728	79.3	-118.62	-84.1	95.24	19.58	1.11386	0.02946	1.27893	88.7	96.416869	85.22	0.091947	0.099867	-0.899	-0.1194	0.4213	0.952104	0.781919	0.486824	-0.545873	0.681927	0.274136	0.83672	0.474078	0.829368	0.043852	-0.556979	102.59	37	1.0	3.73424e+14	-6.55332e+14	-4.1412e+13	32555.1	13.8195	74.64	-159.36	-23.0	30.378667	27.176368	27.619358	30379.12	27176.794	27618.251	853280	4372670000.0	0.106798	0.026556	-0.850977	-0.173955	0.495559	0.977905	0.820658	-0.528238	0.600862	-0.599941	0.12858	0.755022	0.642969	0.839304	0.2625	-0.476091	1.73846e+13	-3.21603e+13	315567	1130310000.0	0.016114	0.003576	-0.859735	-0.242556	0.449468	0.761598	0.40305	-0.033522	0.906569	0.420723	0.499291	-0.349475	0.792827	0.865786	0.236641	-0.440927	3.20436e+12	-1.49719e+13	2.74176304424	4.42357112587	7.82117983698	10.3873816142	13.3877538071	13.6048079736	2.87399987559
593	0.0011159	0	-1	125	1.06257e+11	4848358	30378.5534987	27176.5633942	27619.500895	79.29	-118.62	-84.11	95.25	19.61	1.71915	0.02297	1.27245	88.74	96.422505	85.23	0.091956	0.09984	-0.899	-0.1194	0.4214	0.95188	0.781625	0.487246	-0.5448	0.682484	0.273255	0.837403	0.47338	0.829411	0.04416	-0.556891	102.6	37	1.0	3.73454e+14	-6.55194e+14	-4.14272e+13	32442.7	13.8426	-5.58	-32.4	-35.88	30.378545	27.176558	27.619521	30378.994	27176.987	27618.385	853286	4372680000.0	0.106811	0.026545	-0.851037	-0.17393	0.495464	0.977754	0.820584	-0.528859	0.59801	-0.602239	0.126758	0.75729	0.640659	0.839191	0.26248	-0.476302	1.74042e+13	-3.21664e+13	315485	1129950000.0	0.016145	0.003579	-0.859685	-0.242743	0.449463	0.75892	0.401467	-0.033589	0.906597	0.420659	0.499233	-0.349405	0.792895	0.865816	0.23664	-0.440867	3.17033e+12	-1.49128e+13	2.79038489149	4.482421946	7.8627735888	10.4138592236	13.4005938893	13.6027711035	2.93080429022
592	0.0012755	0	-1	127	1.06257e+11	4848525	30378.436759	27176.7613132	27619.6423221	79.29	-118.62	-84.11	95.25	19.71	1.8379	0.05465	1.27021	88.79	96.428274	85.23	0.091967	0.099813	-0.899	-0.1193	0.4214	0.951598	0.781313	0.487497	-0.544131	0.682839	0.27262	0.837823	0.473002	0.829473	0.044431	-0.556777	102.62	37	1.0	3.73513e+14	-6.55087e+14	-4.14502e+13	32301.2	13.8658	57.28	-16.8	-128.44	30.378419	27.176811	27.619626	30378.87	27177.176	27618.523	853342	4372900000.0	0.106798	0.026553	-0.851104	-0.173873	0.495369	0.977727	0.820523	-0.529606	0.593156	-0.60637	0.123225	0.761069	0.636859	0.839246	0.262564	-0.476158	1.74025e+13	-3.21796e+13	315375	1129500000.0	0.016177	0.00358	-0.859877	-0.243013	0.448951	0.756285	0.399851	-0.033612	0.906592	0.420668	0.499167	-0.349421	0.79293	0.865854	0.236635	-0.440796	3.14264e+12	-1.48506e+13	2.84183997896	4.54320642205	7.90206677053	10.4392856138	13.4167549179	13.6007213683	2.98549322072
591	0.0014352	0	-1	128	1.06257e+11	4848636	30378.3070673	27176.9809468	27619.7781561	79.28	-118.62	-84.12	95.26	20.0	0.77397	0.03367	1.26432	88.82	96.434028	85.23	0.091975	0.099788	-0.8989	-0.1193	0.4215	0.951384	0.781096	0.487729	-0.543557	0.683129	0.271991	0.838178	0.472736	0.829543	0.044762	-0.556646	102.63	37	1.0	3.73564e+14	-6.54988e+14	-4.14466e+13	32200.0	13.8837	49.85	-96.49	-173.24	30.378339	27.176978	27.619769	30378.743	27177.37	27618.657	853399	4373220000.0	0.106816	0.026534	-0.851202	-0.173855	0.495207	0.977678	0.820394	-0.530266	0.591099	-0.607799	0.121964	0.762613	0.635253	0.839013	0.262724	-0.47648	1.74369e+13	-3.21896e+13	315302	1129190000.0	0.016209	0.003584	-0.859936	-0.243213	0.44873	0.753124	0.398241	-0.033406	0.90642	0.421054	0.499138	-0.349858	0.792755	0.865878	0.236647	-0.440742	3.111e+12	-1.47975e+13	2.88936592032	4.60460654445	7.9446839632	10.4725788399	13.4389957988	13.5986840696	3.03801537017
