#snum	redshift	ID	hostHalo	numSubStruct	Mvir	npart	Xc	Yc	Zc	VXc	VYc	VZc	Rvir	Rmax	r2	mbp_offset	com_offset	Vmax	v_esc	sigV	lambda	lambdaE	Lx	Ly	Lz	b	c	Eax	Eay	Eaz	Ebx	Eby	Ebz	Ecx	Ecy	Ecz	ovdens	nbins	fMhires	Ekin	Epot	SurfP	Phi0	cNFW	mbp_Vx	mbp_Vy	mbp_Vz	mbp_x	mbp_y	mbp_z	com_x	com_y	com_z	n_gas	M_gas	lambda_gas	lambdaE_gas	Lx_gas	Ly_gas	Lz_gas	b_gas	c_gas	Eax_gas	Eay_gas	Eaz_gas	Ebx_gas	Eby_gas	Ebz_gas	Ecx_gas	Ecy_gas	Ecz_gas	Ekin_gas	Epot_gas	n_star	M_star	lambda_star	lambdaE_star	Lx_star	Ly_star	Lz_star	b_star	c_star	Eax_star	Eay_star	Eaz_star	Ebx_star	Eby_star	Ebz_star	Ecx_star	Ecy_star	Ecz_star	Ekin_star	Epot_star	MDM(2.0Rstar0.5)	Mgas(2.0Rstar0.5)	MlowresDM(2.0Rstar0.5)	Mstar(2.0Rstar0.5)	Rstar0.5	Rstar0.75	Rstar0.9	Rstar0.95	Rstar0.99	Vc(2.0Rstar0.5)	cAnalytic
600	0.0	0	-1	155	1.03845e+11	4962768	29851.8056625	31693.8400512	28503.4550477	-22.81	85.74	-55.72	97.19	31.89	0.96216	0.02043	1.2394	82.42	95.864768	83.88	0.01502	0.015883	-0.9467	-0.1175	0.2999	0.944451	0.847306	0.810233	0.178149	-0.558378	-0.266122	0.960642	-0.079666	0.522209	0.213145	0.825752	97.29	38	1.0	3.65339e+14	-6.32109e+14	-2.90601e+13	30741.0	10.4275	-78.77	124.31	-111.81	29.851813	31.693844	28.503436	29851.142	31694.472	28504.289	797735	4048360000.0	0.057384	0.012559	-0.833689	-0.244016	-0.495397	0.943557	0.853619	0.803445	0.193538	-0.563044	-0.045789	0.962976	0.26567	0.593616	-0.18767	0.78256	1.36066e+13	-2.5035e+13	145344	521793000.0	0.002605	0.000404	-0.259488	0.598862	0.757648	0.936629	0.689538	-0.818174	0.49409	0.294052	0.327574	0.820866	-0.46784	0.472532	0.286451	0.833462	9.56543e+11	-6.68236e+12	3424500059.74	445871147.249	0.0	361180226.334	1.78153917622	3.46702981453	6.3977270594	8.92281427546	13.1194149663	71.4672767983	13.082785109
599	0.0001593	0	-1	156	1.03842e+11	4962460	29852.017394	31693.6227638	28503.4709243	-22.81	85.75	-55.72	97.2	32.39	0.75763	0.03644	1.39192	82.38	95.868283	83.86	0.015039	0.015899	-0.9469	-0.1202	0.2981	0.944435	0.847082	0.811419	0.174638	-0.557764	-0.263144	0.96128	-0.081834	0.521875	0.213174	0.825956	97.3	38	1.0	3.65135e+14	-6.31786e+14	-2.91091e+13	30675.6	10.4051	9.03	86.97	20.4	29.851994	31.693597	28.503481	29851.209	31694.325	28504.361	797509	4047200000.0	0.057544	0.012581	-0.83278	-0.243332	-0.497259	0.943909	0.853546	0.803609	0.187557	-0.564832	-0.04146	0.964382	0.261244	0.593712	-0.18652	0.782762	1.36022e+13	-2.5007e+13	145323	521724000.0	0.002606	0.000404	-0.261397	0.592118	0.762278	0.934768	0.688512	-0.814036	0.504406	0.287957	0.33808	0.814636	-0.471244	0.472279	0.286257	0.833672	9.5635e+11	-6.67588e+12	3428723264.05	451652819.472	0.0	361337072.79	1.78236037076	3.4624338875	6.41457381438	8.95165178131	13.1116741122	71.5422490302	13.08100648
598	0.0003186	0	-1	157	1.0383e+11	4961770	29852.0595555	31693.4945229	28503.5496774	-22.81	85.75	-55.72	97.2	32.36	0.77835	0.03296	1.39797	82.38	95.868743	83.84	0.015034	0.015895	-0.9468	-0.1205	0.2984	0.944459	0.847044	0.811869	0.174963	-0.557007	-0.26332	0.961228	-0.08187	0.521087	0.213139	0.826463	97.31	38	1.0	3.64923e+14	-6.31581e+14	-2.91229e+13	30670.7	10.4021	-35.17	81.92	-28.91	29.852033	31.693475	28.503554	29851.246	31694.191	28504.448	797268	4045960000.0	0.057549	0.012577	-0.832994	-0.243278	-0.496928	0.943765	0.853454	0.803674	0.187291	-0.564827	-0.040981	0.964345	0.261457	0.593657	-0.186979	0.782694	1.35961e+13	-2.49916e+13	145314	521717000.0	0.002602	0.000403	-0.262136	0.593143	0.761227	0.934974	0.688647	-0.814077	0.504484	0.287707	0.338322	0.814615	-0.471105	0.472035	0.286178	0.833837	9.56343e+11	-6.67434e+12	3407063906.25	449461579.923	0.0	360704598.294	1.77708839702	3.46998851347	6.40764605301	8.9594173864	13.1123176521	71.4469041021	13.0793408603
597	0.0004779	0	-1	152	1.03818e+11	4961095	29852.09171	31693.3567689	28503.6365748	-22.81	85.76	-55.72	97.2	32.2	1.17526	0.03477	1.39984	82.38	95.86918	83.82	0.015032	0.015894	-0.9466	-0.1205	0.299	0.94462	0.847147	0.812373	0.175401	-0.556133	-0.263506	0.961186	-0.081764	0.520206	0.212968	0.827061	97.33	38	1.0	3.64704e+14	-6.31378e+14	-2.91396e+13	30667.0	10.4014	-5.62	33.73	-9.77	29.85208	31.693389	28.503637	29851.279	31694.056	28504.537	797074	4044990000.0	0.057555	0.012586	-0.833147	-0.243139	-0.496738	0.943723	0.853469	0.80351	0.187234	-0.56508	-0.040649	0.96429	0.261709	0.593902	-0.187316	0.782428	1.35716e+13	-2.49791e+13	145287	521609000.0	0.002601	0.000403	-0.262728	0.594101	0.760275	0.935311	0.688833	-0.813681	0.505598	0.28687	0.339608	0.813962	-0.471309	0.471794	0.286071	0.83401	9.56581e+11	-6.6716e+12	3394344899.11	447638338.615	0.0	360238578.161	1.77476631031	3.47322218948	6.4147488054	8.97968101475	13.1199831344	71.3719822586	13.0776755215
596	0.0006373	0	-1	154	1.03804e+11	4960233	29852.2371907	31693.3782451	28503.6857074	-22.81	85.76	-55.73	97.21	32.36	2.34055	0.03385	1.41441	82.37	95.869122	83.8	0.014997	0.015855	-0.9463	-0.1226	0.299	0.94428	0.846957	0.812994	0.174736	-0.555435	-0.263503	0.961051	-0.083352	0.519236	0.214123	0.827372	97.34	38	1.0	3.645e+14	-6.31069e+14	-2.91812e+13	30579.1	10.3999	3.47	75.22	-1.2	29.85225	31.693379	28.503717	29851.334	31693.948	28504.614	796705	4043110000.0	0.05757	0.012584	-0.833267	-0.243242	-0.496488	0.943631	0.853467	0.803786	0.184949	-0.56544	-0.039258	0.964867	0.25979	0.593622	-0.186617	0.782807	1.35517e+13	-2.49472e+13	145268	521569000.0	0.002575	0.000398	-0.266668	0.597393	0.756313	0.935209	0.686464	-0.817843	0.49683	0.290333	0.330831	0.818778	-0.469206	0.470834	0.287685	0.833998	9.56671e+11	-6.65944e+12	3417362597.47	449358401.956	0.0	360653915.656	1.78610254093	3.48023313613	6.4152156745	8.99878054004	13.1182242163	71.3634180807	13.0760340824
595	0.0007968	0	-1	153	1.03791e+11	4959652	29852.0315428	31693.1509548	28503.8252962	-22.8	85.77	-55.73	97.21	32.41	0.52978	0.03984	1.31127	82.37	95.869534	83.78	0.01501	0.015875	-0.9459	-0.1194	0.3016	0.944966	0.847482	0.81237	0.179852	-0.554714	-0.26683	0.960471	-0.07936	0.518514	0.212484	0.828248	97.35	38	1.0	3.64302e+14	-6.31068e+14	-2.91818e+13	30709.5	10.3991	-11.76	73.07	-40.7	29.852057	31.693182	28.503826	29851.327	31693.798	28504.722	796644	4042750000.0	0.057485	0.012582	-0.834341	-0.243166	-0.494717	0.943371	0.85342	0.803192	0.189952	-0.564625	-0.042068	0.963521	0.264307	0.594233	-0.188536	0.781883	1.35306e+13	-2.49557e+13	145250	521512000.0	0.002598	0.000402	-0.264349	0.597716	0.756872	0.937553	0.69018	-0.814449	0.504838	0.286027	0.339928	0.814638	-0.469909	0.470237	0.285488	0.835089	9.57302e+11	-6.66961e+12	3338529450.28	438414375.843	0.0	358636396.492	1.76088648049	3.49207017922	6.41932402107	9.00110926397	13.1328356251	71.0936169391	13.0743794072
594	0.0009563	0	-1	152	1.03784e+11	4959156	29852.2096924	31692.9458183	28503.8859357	-22.8	85.77	-55.74	97.21	32.4	0.73505	0.04151	1.41995	82.35	95.871536	83.77	0.015024	0.015885	-0.9461	-0.1214	0.3002	0.94498	0.847293	0.813611	0.177318	-0.55371	-0.264513	0.96098	-0.08093	0.517754	0.212309	0.828767	97.37	38	1.0	3.64123e+14	-6.30715e+14	-2.92053e+13	30649.9	10.3872	-48.21	49.54	-61.56	29.852216	31.692914	28.50386	29851.386	31693.652	28504.802	796431	4041680000.0	0.057607	0.012604	-0.833569	-0.242625	-0.496282	0.943693	0.853383	0.803655	0.186367	-0.56516	-0.039867	0.964424	0.261336	0.593759	-0.187493	0.782494	1.3513e+13	-2.49294e+13	145205	521317000.0	0.0026	0.000402	-0.266898	0.59618	0.757189	0.936304	0.686981	-0.812451	0.509632	0.283194	0.344454	0.811463	-0.472101	0.470399	0.286012	0.834819	9.57565e+11	-6.66132e+12	3355693935.65	442468267.439	0.0	359008249.674	1.76762435902	3.48952866595	6.43916632961	9.01501770321	13.1361062915	71.1486388853	13.0726507436
593	0.0011159	0	-1	145	1.03767e+11	4958267	29852.0444632	31692.9273528	28503.9300813	-22.8	85.77	-55.74	97.22	32.19	0.66521	0.0351	1.31175	82.37	95.870349	83.75	0.015003	0.015867	-0.9456	-0.1191	0.3029	0.945071	0.84759	0.813125	0.180909	-0.553263	-0.267178	0.960435	-0.078621	0.517149	0.211749	0.829288	97.38	38	1.0	3.6393e+14	-6.30618e+14	-2.92233e+13	30639.4	10.3946	11.48	115.78	6.7	29.852015	31.692935	28.503912	29851.39	31693.537	28504.89	796245	4040720000.0	0.057514	0.012595	-0.835351	-0.242588	-0.493295	0.943353	0.853308	0.803532	0.19021	-0.564054	-0.041764	0.963252	0.265331	0.593795	-0.189645	0.781948	1.34862e+13	-2.49211e+13	145166	521152000.0	0.002598	0.000402	-0.268439	0.596785	0.756167	0.938591	0.688083	-0.815325	0.501342	0.289657	0.335341	0.816696	-0.469633	0.472008	0.28577	0.833993	9.57948e+11	-6.65527e+12	3321784815.63	434096793.539	0.0	357686938.678	1.7608676438	3.50790617011	6.41927160632	9.02598880013	13.1364104806	70.915848361	13.0710450058
592	0.0012755	0	-1	153	1.0376e+11	4957831	29852.2485745	31692.6839603	28504.150476	-22.8	85.78	-55.75	97.22	32.7	4.99553	0.00889	1.35814	82.34	95.872462	83.75	0.015015	0.015872	-0.9457	-0.1215	0.3015	0.945327	0.847468	0.814325	0.179415	-0.551983	-0.266241	0.960534	-0.080568	0.515743	0.212569	0.829954	97.39	38	1.0	3.63893e+14	-6.30332e+14	-2.92339e+13	30700.7	10.379	-110.02	150.47	55.02	29.852244	31.692685	28.504143	29851.447	31693.383	28504.996	796083	4039870000.0	0.057579	0.012615	-0.833694	-0.243106	-0.495836	0.943279	0.853099	0.803382	0.187957	-0.565022	-0.041671	0.964296	0.261526	0.594004	-0.18656	0.782531	1.34562e+13	-2.49013e+13	145131	521036000.0	0.002606	0.000403	-0.266731	0.598936	0.75507	0.937972	0.688172	-0.812282	0.511011	0.281186	0.345352	0.809872	-0.474172	0.470031	0.288053	0.834324	9.598e+11	-6.655e+12	3312869162.07	436506190.76	0.0	357723055.922	1.75807149923	3.50224259687	6.43632577305	9.0321756671	13.1599467953	70.9220357371	13.0693157705
591	0.0014352	0	-1	151	1.03748e+11	4957108	29852.3297204	31692.531911	28504.1459139	-22.8	85.79	-55.75	97.22	32.67	1.97133	0.04951	1.43473	82.33	95.873194	83.73	0.015021	0.015879	-0.9457	-0.1224	0.3012	0.945312	0.847378	0.814938	0.177993	-0.551539	-0.264721	0.960914	-0.081038	0.515557	0.212045	0.830203	97.41	38	1.0	3.63691e+14	-6.30082e+14	-2.92597e+13	30623.5	10.3723	-4.09	144.73	-21.98	29.852373	31.692542	28.504168	29851.494	31693.246	28505.068	795811	4038490000.0	0.057668	0.01263	-0.833864	-0.242276	-0.495956	0.943453	0.853027	0.803666	0.185213	-0.565524	-0.039814	0.964937	0.259444	0.593747	-0.18599	0.782861	1.34455e+13	-2.48816e+13	145079	520797000.0	0.002602	0.000402	-0.271138	0.597705	0.754476	0.937321	0.68776	-0.811998	0.510892	0.282221	0.345384	0.810384	-0.473273	0.470498	0.286822	0.834484	9.59586e+11	-6.64809e+12	3314968415.68	437456199.43	0.0	357402706.795	1.75982385147	3.50933961717	6.44179040429	9.06620280661	13.1590713755	70.9159172374	13.0676475696
