#snum	redshift	ID	hostHalo	numSubStruct	Mvir	npart	Xc	Yc	Zc	VXc	VYc	VZc	Rvir	Rmax	r2	mbp_offset	com_offset	Vmax	v_esc	sigV	lambda	lambdaE	Lx	Ly	Lz	b	c	Eax	Eay	Eaz	Ebx	Eby	Ebz	Ecx	Ecy	Ecz	ovdens	nbins	fMhires	Ekin	Epot	SurfP	Phi0	cNFW	mbp_Vx	mbp_Vy	mbp_Vz	mbp_x	mbp_y	mbp_z	com_x	com_y	com_z	n_gas	M_gas	lambda_gas	lambdaE_gas	Lx_gas	Ly_gas	Lz_gas	b_gas	c_gas	Eax_gas	Eay_gas	Eaz_gas	Ebx_gas	Eby_gas	Ebz_gas	Ecx_gas	Ecy_gas	Ecz_gas	Ekin_gas	Epot_gas	n_star	M_star	lambda_star	lambdaE_star	Lx_star	Ly_star	Lz_star	b_star	c_star	Eax_star	Eay_star	Eaz_star	Ebx_star	Eby_star	Ebz_star	Ecx_star	Ecy_star	Ecz_star	Ekin_star	Epot_star	Rstar0.5	Rstar0.75	Rstar0.9	Rstar0.95	Rstar0.99	cAnalytic	sRstar0.5
600	0.0	0	-1	172	1.29243e+11	6353492	27114.0562215	28585.4513849	31428.7908106	-88.66	-21.99	102.46	102.74	14.23	1.08374	0.04263	1.9571	99.56	104.021348	93.16	0.025408	0.029988	0.5077	0.1651	-0.8456	0.925056	0.907988	0.839163	-0.156056	0.521011	0.319682	0.916529	-0.240369	-0.440011	0.368266	0.819006	102.5	38	1.0	5.60829e+14	-1.04781e+15	-3.75227e+13	43566.4	16.0923	-136.61	41.98	232.21	27.114086	28.585426	31.428808	27114.728	28586.012	31430.541	1053485	5739420000.0	0.043559	0.013404	0.474099	0.119746	-0.872291	0.942235	0.916567	0.589316	0.766996	0.253821	-0.117601	-0.229387	0.966205	0.799298	-0.599249	-0.044981	2.84683e+13	-6.15731e+13	735031	2753810000.0	0.016175	0.005476	0.177114	-0.061671	-0.982256	0.911294	0.502389	0.968235	-0.105394	0.226745	0.108592	0.994085	-0.001639	-0.225231	0.026209	0.973953	9.78975e+12	-4.98657e+13	2.79110386816	4.42862544789	6.23189529862	7.82373032638	12.0113488467	13.306094846	2.79110386816
599	0.0001593	0	-1	174	1.29238e+11	6353309	27114.2123519	28585.5017156	31428.630239	-88.66	-21.99	102.47	102.75	14.59	0.95802	0.01207	1.9484	99.37	104.025356	93.16	0.025413	0.029995	0.5078	0.1649	-0.8456	0.925053	0.908063	0.838977	-0.156596	0.521148	0.321235	0.915547	-0.242038	-0.439233	0.370475	0.818427	102.52	38	1.0	5.60831e+14	-1.04789e+15	-3.74887e+13	43599.1	15.9744	-70.75	-0.67	190.29	27.11422	28.585508	31.428637	27114.872	28586.049	31430.38	1053580	5739770000.0	0.04356	0.013394	0.473755	0.119888	-0.872458	0.942291	0.916964	0.588945	0.76731	0.25373	-0.121448	-0.226362	0.966442	0.798996	-0.599996	-0.040127	2.85348e+13	-6.15916e+13	734934	2753450000.0	0.016169	0.005475	0.177101	-0.061613	-0.982262	0.911053	0.502366	0.968596	-0.101761	0.226862	0.105058	0.994463	-0.00247	-0.225355	0.026226	0.973924	9.78903e+12	-4.98743e+13	2.79230707837	4.42919406927	6.22699560988	7.83061516443	12.0097497735	13.3042091007	2.79168450147
598	0.0003186	0	-1	170	1.29231e+11	6352984	27114.3353942	28585.5147167	31428.4631652	-88.66	-21.99	102.47	102.75	14.68	1.22402	0.06005	1.96245	99.32	104.028216	93.17	0.025422	0.030006	0.5075	0.165	-0.8457	0.925027	0.908121	0.838694	-0.157212	0.521418	0.322473	0.914898	-0.242844	-0.438866	0.371815	0.818016	102.53	38	1.0	5.60847e+14	-1.04791e+15	-3.75005e+13	43577.7	15.9408	-46.42	-71.41	200.46	27.114314	28.58551	31.428407	27115.012	28586.081	31430.216	1053613	5739810000.0	0.043543	0.013382	0.473474	0.119894	-0.87261	0.9422	0.917199	0.588305	0.767815	0.253689	-0.123479	-0.224745	0.966562	0.799156	-0.599958	-0.03741	2.85934e+13	-6.16166e+13	734841	2753130000.0	0.01617	0.005475	0.177057	-0.061458	-0.98228	0.912239	0.502585	0.968968	-0.097805	0.227014	0.101198	0.994861	-0.003331	-0.225522	0.026201	0.973886	9.78999e+12	-4.98705e+13	2.79511410477	4.4299411219	6.22026216216	7.83317367201	12.0158140388	13.3023458455	2.7930729568
597	0.0004779	0	-1	174	1.29224e+11	6352720	27114.4889885	28585.5321082	31428.3000861	-88.66	-21.99	102.47	102.76	14.65	0.82781	0.04914	1.96477	99.33	104.031685	93.17	0.025427	0.03001	0.5074	0.1649	-0.8458	0.925029	0.908189	0.838707	-0.157592	0.521283	0.32354	0.914163	-0.244187	-0.438055	0.373458	0.817702	102.55	38	1.0	5.60887e+14	-1.04787e+15	-3.75394e+13	43589.1	15.9475	39.76	-38.14	-5.08	27.114514	28.585574	31.428299	27115.157	28586.114	31430.054	1053657	5739820000.0	0.043539	0.013372	0.473227	0.119959	-0.872735	0.942206	0.917593	0.588142	0.768019	0.253446	-0.125911	-0.222604	0.966744	0.798896	-0.600495	-0.034221	2.86428e+13	-6.16191e+13	734767	2752940000.0	0.016179	0.005478	0.176969	-0.0613	-0.982306	0.912831	0.50257	0.969011	-0.097238	0.227073	0.100611	0.99492	-0.003299	-0.225598	0.026043	0.973872	9.79305e+12	-4.98699e+13	2.79457892979	4.43276120315	6.22202357572	7.84063746147	12.0260605937	13.3004829511	2.79448717919
596	0.0006373	0	-1	182	1.29218e+11	6352263	27114.6306161	28585.5568866	31428.1372452	-88.66	-21.99	102.48	102.76	14.71	0.93366	0.03371	1.96717	99.29	104.034538	93.19	0.025435	0.030011	0.5074	0.1647	-0.8458	0.925039	0.908251	0.838463	-0.157781	0.521617	0.324157	0.913823	-0.244642	-0.438066	0.374209	0.817353	102.56	38	1.0	5.61131e+14	-1.04786e+15	-3.74982e+13	43601.0	15.9222	-141.74	-43.16	138.32	27.114612	28.585529	31.428135	27115.3	28586.147	31429.89	1053461	5738670000.0	0.043529	0.013353	0.473478	0.119857	-0.872612	0.941953	0.917411	0.58824	0.767983	0.253328	-0.121036	-0.22612	0.966551	0.799577	-0.599226	-0.040059	2.87296e+13	-6.16274e+13	734697	2752780000.0	0.016189	0.005481	0.176965	-0.061218	-0.982311	0.913453	0.50265	0.969255	-0.094454	0.227209	0.097894	0.995189	-0.003891	-0.225748	0.026014	0.973838	9.80291e+12	-4.98709e+13	2.79546645587	4.43330167653	6.21777535159	7.84832002496	12.0332417353	13.2986087545	2.7944660299
595	0.0007968	0	-1	183	1.29214e+11	6352084	27114.7909655	28585.6134778	31427.9745898	-88.67	-21.98	102.48	102.77	14.69	1.28424	0.04981	1.95637	99.3	104.038778	93.19	0.025434	0.030012	0.5076	0.1644	-0.8457	0.925053	0.908317	0.838402	-0.15808	0.521625	0.325561	0.912784	-0.24665	-0.43714	0.376613	0.816744	102.57	38	1.0	5.61087e+14	-1.04792e+15	-3.75401e+13	43636.3	15.9274	-96.06	-105.87	151.85	27.114839	28.585614	31.427989	27115.447	28586.185	31429.727	1053513	5738670000.0	0.043528	0.013353	0.473031	0.119754	-0.872869	0.941957	0.917779	0.588014	0.768351	0.252737	-0.12352	-0.2235	0.966846	0.799364	-0.599737	-0.036515	2.87316e+13	-6.1634e+13	734592	2752430000.0	0.016183	0.005479	0.176917	-0.061156	-0.982324	0.913026	0.502647	0.969586	-0.090871	0.227258	0.094371	0.995527	-0.004558	-0.225827	0.025866	0.973824	9.80372e+12	-4.98805e+13	2.79502143858	4.43020155822	6.21316420988	7.85502928421	12.0299401114	13.2967128129	2.79196484982
594	0.0009563	0	-1	178	1.2921e+11	6351848	27114.9452549	28585.6422305	31427.8091243	-88.67	-21.98	102.48	102.77	13.73	0.37318	0.03711	1.95675	99.83	104.042358	93.19	0.02544	0.030019	0.5077	0.1642	-0.8457	0.924974	0.908371	0.838155	-0.158657	0.521847	0.327042	0.911879	-0.248034	-0.436509	0.378556	0.816183	102.59	38	1.0	5.61092e+14	-1.04792e+15	-3.75408e+13	43663.4	16.2423	-23.34	-28.05	109.85	27.114947	28.585611	31.427829	27115.592	28586.219	31429.564	1053524	5738570000.0	0.043525	0.013348	0.472651	0.119632	-0.873092	0.941905	0.918066	0.58739	0.768807	0.252804	-0.124239	-0.22301	0.966867	0.799711	-0.599336	-0.035478	2.87552e+13	-6.16408e+13	734515	2752250000.0	0.016188	0.00548	0.176834	-0.060975	-0.98235	0.913384	0.502672	0.96972	-0.089431	0.227257	0.092905	0.995664	-0.004614	-0.225859	0.025588	0.973824	9.80822e+12	-4.9884e+13	2.79548380837	4.43026574725	6.21010021093	7.86565859632	12.0385154808	13.2948172395	2.78651225976
593	0.0011159	0	-1	177	1.29205e+11	6351681	27115.0726931	28585.6552173	31427.6434013	-88.67	-21.98	102.49	102.78	13.73	0.96507	0.02446	1.96826	99.82	104.04576	93.19	0.025446	0.030026	0.5075	0.1641	-0.8459	0.924924	0.908408	0.838093	-0.158892	0.521875	0.327645	0.911492	-0.248658	-0.436176	0.379388	0.815975	102.6	38	1.0	5.61078e+14	-1.04793e+15	-3.76087e+13	43669.1	16.2378	-80.8	-34.75	169.09	27.115063	28.585677	31.427637	27115.733	28586.251	31429.399	1053608	5738810000.0	0.043512	0.013352	0.472463	0.119594	-0.873199	0.941806	0.918217	0.586529	0.769614	0.252346	-0.12627	-0.220866	0.967096	0.800025	-0.599093	-0.032365	2.87326e+13	-6.16594e+13	734427	2752010000.0	0.016196	0.005482	0.176843	-0.060838	-0.982357	0.91459	0.502908	0.969952	-0.086555	0.22738	0.090085	0.995921	-0.005171	-0.226005	0.025499	0.973792	9.8131e+12	-4.98804e+13	2.79706610429	4.42900808066	6.2046436231	7.87208671042	12.0426109143	13.2929312643	2.77955733282
592	0.0012755	0	-1	177	1.29203e+11	6351477	27115.255099	28585.7013203	31427.4835486	-88.67	-21.98	102.49	102.78	13.87	0.85245	0.04833	1.95213	99.74	104.050617	93.2	0.025444	0.030019	0.5076	0.1638	-0.8459	0.92485	0.908411	0.83812	-0.159346	0.521693	0.328787	0.910701	-0.250045	-0.435263	0.381093	0.815668	102.62	38	1.0	5.61189e+14	-1.04794e+15	-3.75288e+13	43702.7	16.1856	-15.64	3.01	136.49	27.115229	28.585731	31.427511	27115.884	28586.287	31429.237	1053568	5738430000.0	0.043527	0.013371	0.472535	0.119455	-0.873179	0.941663	0.918347	0.58766	0.769328	0.250579	-0.121963	-0.221931	0.967404	0.799863	-0.599067	-0.03659	2.86636e+13	-6.16622e+13	734306	2751730000.0	0.016208	0.005486	0.176715	-0.060669	-0.982391	0.914013	0.502711	0.969912	-0.087114	0.227336	0.090564	0.995879	-0.004768	-0.225983	0.025213	0.973805	9.82798e+12	-4.98867e+13	2.79470470846	4.42795973734	6.20969028662	7.88199016812	12.0449243506	13.2910143261	2.77553756039
591	0.0014352	0	-1	173	1.29196e+11	6351186	27115.3901245	28585.7118536	31427.3180025	-88.67	-21.98	102.49	102.79	13.77	1.82857	0.04324	1.96174	99.8	104.053573	93.2	0.025447	0.030024	0.5074	0.1637	-0.846	0.924794	0.908452	0.838026	-0.15976	0.521718	0.329945	0.909924	-0.251347	-0.434568	0.382773	0.815251	102.63	38	1.0	5.61149e+14	-1.04795e+15	-3.75218e+13	43722.6	16.2199	-73.8	-90.82	206.63	27.115421	28.585696	31.427292	27116.026	28586.318	31429.072	1053668	5738790000.0	0.043515	0.013371	0.472307	0.119218	-0.873335	0.941685	0.918637	0.586561	0.770018	0.251033	-0.125525	-0.219776	0.967441	0.800118	-0.598974	-0.032255	2.86619e+13	-6.16807e+13	734193	2751360000.0	0.016215	0.005488	0.176709	-0.060478	-0.982403	0.915147	0.502907	0.97	-0.085931	0.227413	0.089367	0.995987	-0.004835	-0.226085	0.025013	0.973786	9.83129e+12	-4.98843e+13	2.79597619028	4.42616869169	6.2076224689	7.89497400949	12.0594598982	13.2891487567	2.77796111134
