#snum	redshift	ID	hostHalo	numSubStruct	Mvir	npart	Xc	Yc	Zc	VXc	VYc	VZc	Rvir	Rmax	r2	mbp_offset	com_offset	Vmax	v_esc	sigV	lambda	lambdaE	Lx	Ly	Lz	b	c	Eax	Eay	Eaz	Ebx	Eby	Ebz	Ecx	Ecy	Ecz	ovdens	nbins	fMhires	Ekin	Epot	SurfP	Phi0	cNFW	mbp_Vx	mbp_Vy	mbp_Vz	mbp_x	mbp_y	mbp_z	com_x	com_y	com_z	n_gas	M_gas	lambda_gas	lambdaE_gas	Lx_gas	Ly_gas	Lz_gas	b_gas	c_gas	Eax_gas	Eay_gas	Eaz_gas	Ebx_gas	Eby_gas	Ebz_gas	Ecx_gas	Ecy_gas	Ecz_gas	Ekin_gas	Epot_gas	n_star	M_star	lambda_star	lambdaE_star	Lx_star	Ly_star	Lz_star	b_star	c_star	Eax_star	Eay_star	Eaz_star	Ebx_star	Eby_star	Ebz_star	Ecx_star	Ecy_star	Ecz_star	Ekin_star	Epot_star	Rstar0.5	Rstar0.75	Rstar0.9	Rstar0.95	Rstar0.99	cAnalytic
600	0.0	0	-1	1094	8.87481e+11	53874688	25279.9174079	34513.9105443	32853.9430462	-225.29	268.5	124.4	198.71	14.23	0.05833	0.00753	17.06049	207.06	195.997441	187.61	0.041508	0.048528	0.6092	0.4732	-0.6363	0.875605	0.744299	0.407824	0.278227	0.869638	-0.428206	0.899487	-0.086965	0.806424	0.336918	-0.48597	97.29	44	1.0	1.5618e+16	-2.72678e+16	-1.18592e+15	310089.0	22.8942	-127.36	47.22	-148.75	25.279911	34.513915	32.853942	25266.939	34510.961	32843.27	10800581	58645200000.0	0.053892	0.016219	0.675534	0.364045	-0.64119	0.964049	0.907387	-0.666418	0.660469	-0.345931	0.681215	0.727965	0.077544	-0.303041	0.183977	0.93505	1.10499e+15	-1.87701e+15	11458714	48027300000.0	0.013261	0.008263	0.912139	-0.057874	-0.405774	0.406437	0.24285	0.69172	-0.131677	0.71006	0.149398	0.988059	0.037692	0.706544	-0.080009	-0.703132	1.20916e+15	-4.51837e+15	2.40828866519	4.7285214397	7.68622667919	9.69165707825	16.2659574696	10.4738189276
599	0.0001593	0	-1	1097	8.87392e+11	53868389	25280.2824237	34513.4715951	32853.753521	-225.3	268.5	124.39	198.72	13.97	0.03533	0.02189	17.07095	207.72	195.999523	187.62	0.041516	0.048536	0.6091	0.4733	-0.6364	0.875637	0.74432	0.407313	0.278855	0.869676	-0.42832	0.899355	-0.087768	0.806621	0.33675	-0.485758	97.3	44	1.0	1.56185e+16	-2.72666e+16	-1.17402e+15	310089.0	23.1449	-797.64	172.01	76.43	25.28028	34.513464	32.853774	25267.297	34510.531	32843.069	10799045	58638200000.0	0.053899	0.016231	0.675267	0.364146	-0.641414	0.964037	0.907314	-0.666118	0.660794	-0.345888	0.681385	0.727748	0.078085	-0.303317	0.183669	0.935021	1.10324e+15	-1.87607e+15	11456922	48018600000.0	0.013267	0.008267	0.912149	-0.057184	-0.405849	0.406729	0.243013	0.691718	-0.131323	0.710127	0.149345	0.988083	0.037251	0.706556	-0.080287	-0.703088	1.20819e+15	-4.51719e+15	2.40628576059	4.73513715071	7.68736773713	9.68195198676	16.2528404004	10.4724888051
598	0.0003186	0	-1	1100	8.87296e+11	53861815	25280.6466884	34513.0368059	32853.5623046	-225.3	268.5	124.38	198.73	14.12	0.02524	0.02215	17.08064	207.34	196.001115	187.64	0.041526	0.048543	0.6089	0.4735	-0.6364	0.875658	0.744358	0.406774	0.279618	0.869683	-0.428462	0.899195	-0.088704	0.806818	0.336544	-0.485575	97.31	44	1.0	1.56202e+16	-2.7265e+16	-1.19233e+15	310121.0	22.9979	-523.47	519.97	-101.54	25.280641	34.513021	32.853549	25267.655	34510.102	32842.869	10797415	58630000000.0	0.053907	0.016241	0.674977	0.364298	-0.641633	0.964039	0.9072	-0.665725	0.661307	-0.345665	0.681767	0.727347	0.078487	-0.303322	0.183412	0.93507	1.10173e+15	-1.87524e+15	11455239	48011100000.0	0.013278	0.008272	0.912172	-0.056519	-0.405891	0.407059	0.243187	0.691721	-0.130902	0.710202	0.149214	0.98812	0.036797	0.706581	-0.080519	-0.703036	1.20802e+15	-4.51593e+15	2.4053016669	4.74365588302	7.68926425444	9.673370786	16.2402541058	10.4711689478
597	0.0004779	0	-1	1082	8.87206e+11	53855496	25281.0140071	34512.6010662	32853.3802341	-225.31	268.5	124.37	198.73	13.95	0.03229	0.01747	17.09731	207.76	196.003193	187.66	0.041537	0.048551	0.6088	0.4736	-0.6364	0.875658	0.744369	0.406257	0.280295	0.869707	-0.428621	0.899038	-0.089531	0.806994	0.336401	-0.48538	97.33	44	1.0	1.56227e+16	-2.72643e+16	-1.17691e+15	310329.0	23.1561	21.69	537.07	-378.85	25.281023	34.512599	32.853395	25268.013	34509.673	32842.669	10795743	58622500000.0	0.053918	0.016241	0.67472	0.36441	-0.641839	0.964024	0.907122	-0.6658	0.661152	-0.345817	0.681489	0.72756	0.078921	-0.303781	0.183125	0.934977	1.1015e+15	-1.87465e+15	11453555	48002500000.0	0.013285	0.008277	0.912196	-0.055833	-0.405932	0.40735	0.243321	0.691695	-0.130465	0.710307	0.149091	0.988156	0.036314	0.706632	-0.080782	-0.702954	1.20739e+15	-4.51508e+15	2.40345586619	4.75212144102	7.69149510819	9.66442684708	16.2256681785	10.4698415824
596	0.0006373	0	-1	1091	8.87111e+11	53849051	25281.3808731	34512.1747965	32853.1959824	-225.32	268.49	124.36	198.74	13.89	0.0606	0.02195	17.11424	207.91	196.004876	187.69	0.041549	0.048557	0.6087	0.4737	-0.6364	0.875631	0.744383	0.4057	0.281104	0.869706	-0.428802	0.898854	-0.090498	0.807178	0.336216	-0.485203	97.34	44	1.0	1.56262e+16	-2.72633e+16	-1.1682e+15	310656.0	23.2143	-56.78	308.09	-77.88	25.281379	34.512166	32.853216	25268.371	34509.245	32842.47	10794012	58612900000.0	0.053928	0.016235	0.674414	0.364529	-0.642094	0.964071	0.907088	-0.665571	0.661382	-0.345817	0.681482	0.72748	0.079716	-0.304298	0.182611	0.93491	1.10195e+15	-1.87415e+15	11452068	47996700000.0	0.013294	0.008283	0.912229	-0.055153	-0.405952	0.407663	0.243475	0.691688	-0.129924	0.710414	0.148803	0.988217	0.035849	0.706701	-0.080915	-0.70287	1.20663e+15	-4.51405e+15	2.4022008533	4.76005282576	7.69322727319	9.65574690711	16.211626728	10.4685199814
595	0.0007968	0	-1	1122	8.87018e+11	53842455	25281.7499267	34511.742934	32853.0167408	-225.32	268.49	124.35	198.75	14.32	0.0376	0.01166	17.13436	206.75	196.006704	187.72	0.041559	0.048564	0.6086	0.4739	-0.6365	0.875605	0.744385	0.405173	0.281822	0.869719	-0.428989	0.898678	-0.091354	0.807343	0.336085	-0.485019	97.35	44	1.0	1.56287e+16	-2.72622e+16	-1.17395e+15	310912.0	22.7756	312.11	475.61	347.44	25.281744	34.511751	32.853023	25268.729	34508.817	32842.27	10791834	58600600000.0	0.05394	0.016226	0.674117	0.364675	-0.642323	0.964079	0.907004	-0.665743	0.661139	-0.345952	0.681054	0.727817	0.080303	-0.304881	0.182151	0.93481	1.10273e+15	-1.87363e+15	11450746	47992000000.0	0.0133	0.008288	0.91226	-0.05442	-0.40598	0.407981	0.243611	0.691657	-0.129428	0.710534	0.148544	0.988271	0.035423	0.706785	-0.081045	-0.702771	1.20492e+15	-4.51302e+15	2.40070299439	4.76892121416	7.69366793809	9.64620786089	16.2015586034	10.4671951229
594	0.0009563	0	-1	1103	8.86928e+11	53836012	25282.1166792	34511.3083306	32852.8332851	-225.33	268.49	124.34	198.75	14.54	0.02942	0.01876	17.15046	206.19	196.008755	187.74	0.04157	0.048571	0.6084	0.474	-0.6365	0.87559	0.744401	0.404627	0.282484	0.869758	-0.429185	0.898503	-0.092155	0.807513	0.335999	-0.484797	97.37	44	1.0	1.56306e+16	-2.72607e+16	-1.16389e+15	311197.0	22.5637	-272.16	444.09	313.91	25.282118	34.51129	32.852833	25269.087	34508.39	32842.07	10789811	58588300000.0	0.053951	0.016226	0.673826	0.364762	-0.642578	0.964082	0.90694	-0.665914	0.660929	-0.346023	0.680722	0.728087	0.080663	-0.305247	0.181831	0.934752	1.10249e+15	-1.87305e+15	11449281	47987600000.0	0.013308	0.008293	0.912295	-0.053685	-0.405999	0.408318	0.24378	0.691641	-0.128962	0.710634	0.148323	0.98832	0.034996	0.706847	-0.081199	-0.702691	1.20311e+15	-4.51142e+15	2.40005101905	4.77781244468	7.69283338271	9.6362445511	16.1895692549	10.4658666243
593	0.0011159	0	-1	1080	8.86825e+11	53829120	25282.4799292	34510.8761779	32852.6395445	-225.33	268.48	124.33	198.76	14.18	0.05293	0.01052	17.15841	207.12	196.009831	187.75	0.041581	0.048582	0.6083	0.4741	-0.6366	0.8756	0.744445	0.404053	0.283256	0.869774	-0.429442	0.898289	-0.093045	0.807664	0.335922	-0.484598	97.38	44	1.0	1.56304e+16	-2.72581e+16	-1.1795e+15	310833.0	22.9129	-129.94	-88.65	-217.09	25.282483	34.510885	32.852644	25269.445	34507.963	32841.869	10788099	58579100000.0	0.053958	0.016238	0.673506	0.364876	-0.642849	0.964101	0.906858	-0.665379	0.661617	-0.345736	0.681247	0.727539	0.081173	-0.305242	0.181521	0.934814	1.10076e+15	-1.87216e+15	11447616	47980400000.0	0.013315	0.008298	0.91232	-0.052921	-0.406043	0.408688	0.243957	0.691657	-0.128493	0.710704	0.148071	0.988372	0.034591	0.706885	-0.08131	-0.70264	1.20097e+15	-4.50904e+15	2.39940541025	4.78665032223	7.69051489138	9.62674667563	16.1736657105	10.4645542008
592	0.0012755	0	-1	1082	8.8672e+11	53822158	25282.8495509	34510.4589954	32852.4584013	-225.34	268.48	124.33	198.77	14.12	0.01227	0.01226	17.18063	207.28	196.010823	187.77	0.041595	0.048594	0.6082	0.4741	-0.6366	0.875511	0.744442	0.403489	0.284154	0.869743	-0.429793	0.898021	-0.094004	0.807759	0.33588	-0.484469	97.39	44	1.0	1.56317e+16	-2.72556e+16	-1.16471e+15	310483.0	22.9748	28.07	581.62	209.07	25.28284	34.51046	32.852451	25269.802	34507.539	32841.669	10786584	58571700000.0	0.053964	0.016252	0.673195	0.365022	-0.643092	0.964178	0.906803	-0.665278	0.661789	-0.3456	0.681157	0.727538	0.081937	-0.305662	0.180897	0.934798	1.09883e+15	-1.87127e+15	11445783	47972200000.0	0.013325	0.008303	0.912337	-0.052137	-0.406107	0.409028	0.244099	0.691658	-0.127805	0.710827	0.147621	0.988457	0.034082	0.706977	-0.08136	-0.702541	1.19992e+15	-4.50687e+15	2.39997261991	4.79305148831	7.68903465268	9.6207270417	16.1641985993	10.4632445808
591	0.0014352	0	-1	1086	8.86606e+11	53814733	25283.2172639	34510.0269829	32852.2740744	-225.35	268.48	124.32	198.77	13.92	0.0227	0.0104	17.19741	207.79	196.011097	187.8	0.041608	0.048603	0.6081	0.4742	-0.6367	0.875433	0.744447	0.402938	0.284908	0.869752	-0.430172	0.897756	-0.094791	0.807832	0.335948	-0.4843	97.41	44	1.0	1.56341e+16	-2.72537e+16	-1.15003e+15	309958.0	23.1673	-478.64	-126.8	159.2	25.283223	34.510034	32.852279	25270.16	34507.114	32841.468	10784748	58562300000.0	0.053975	0.016254	0.672876	0.36513	-0.643365	0.964223	0.906753	-0.665232	0.661822	-0.345627	0.681062	0.72758	0.082353	-0.305974	0.18061	0.934751	1.09783e+15	-1.87006e+15	11444124	47964900000.0	0.013332	0.008307	0.912348	-0.051323	-0.406186	0.409361	0.244232	0.691647	-0.127304	0.710928	0.147316	0.988516	0.033689	0.707052	-0.08143	-0.702457	1.19949e+15	-4.50567e+15	2.40117953137	4.80136035887	7.68600678984	9.61365884369	16.1518660385	10.46194588
