#snum	redshift	ID	hostHalo	numSubStruct	Mvir	npart	Xc	Yc	Zc	VXc	VYc	VZc	Rvir	Rmax	r2	mbp_offset	com_offset	Vmax	v_esc	sigV	lambda	lambdaE	Lx	Ly	Lz	b	c	Eax	Eay	Eaz	Ebx	Eby	Ebz	Ecx	Ecy	Ecz	ovdens	nbins	fMhires	Ekin	Epot	SurfP	Phi0	cNFW	mbp_Vx	mbp_Vy	mbp_Vz	mbp_x	mbp_y	mbp_z	com_x	com_y	com_z	n_gas	M_gas	lambda_gas	lambdaE_gas	Lx_gas	Ly_gas	Lz_gas	b_gas	c_gas	Eax_gas	Eay_gas	Eaz_gas	Ebx_gas	Eby_gas	Ebz_gas	Ecx_gas	Ecy_gas	Ecz_gas	Ekin_gas	Epot_gas	n_star	M_star	lambda_star	lambdaE_star	Lx_star	Ly_star	Lz_star	b_star	c_star	Eax_star	Eay_star	Eaz_star	Ebx_star	Eby_star	Ebz_star	Ecx_star	Ecy_star	Ecz_star	Ekin_star	Epot_star	Rstar0.5	Rstar0.75	Rstar0.9	Rstar0.95	Rstar0.99	cAnalytic
600	0.0	0	-1	714	6.65921e+11	38053346	57118.6874896	58382.270193	61116.6493112	-61.88	-9.16	94.18	177.45	13.69	0.0832	0.01609	12.36707	199.81	179.661108	176.08	0.00699	0.009029	-0.9215	0.03921	-0.3864	0.799844	0.750559	0.287217	-0.201487	0.936434	-0.513969	0.792553	0.32817	0.808296	0.575555	-0.124077	102.5	43	1.0	1.03232e+16	-1.92884e+16	-8.49349e+14	308313.0	27.1966	89.46	-27.97	372.12	57.118675	58.382279	61.116645	57119.89	58380.238	61128.789	4685142	26088500000.0	0.014477	0.003453	-0.069612	-0.393216	0.916807	0.810753	0.743573	0.395413	-0.19496	0.897574	0.732009	-0.523381	-0.436159	0.554807	0.829495	-0.064239	3.99636e+14	-7.05394e+14	10891819	45302100000.0	0.00846	0.006192	-0.639794	-0.011037	-0.768467	0.371402	0.24145	0.140741	-0.169213	0.975479	0.760262	-0.612666	-0.215967	0.634187	0.772015	0.042419	1.16061e+15	-4.0394e+15	2.12879262038	4.1314991177	7.07029000772	9.77785990718	17.9742666611	11.1839827402
599	0.0001593	0	-1	712	6.65844e+11	38048524	57118.7758181	58382.3081959	61116.51323	-61.88	-9.18	94.18	177.46	13.95	0.05326	0.01868	12.35507	199.17	179.662696	176.08	0.006978	0.009013	-0.9214	0.03745	-0.3868	0.799953	0.750491	0.287342	-0.201789	0.936331	-0.514194	0.792256	0.328536	0.808108	0.575858	-0.12389	102.52	43	1.0	1.03223e+16	-1.92873e+16	-8.45542e+14	308792.0	26.9078	-280.4	-183.62	-52.67	57.118786	58.3823	61.116526	57119.982	58380.26	61128.637	4684890	26089600000.0	0.014465	0.003457	-0.068302	-0.394486	0.91636	0.810729	0.743584	0.395376	-0.195122	0.897555	0.73149	-0.524104	-0.436161	0.555517	0.829001	-0.064488	3.9782e+14	-7.04659e+14	10889815	45292000000.0	0.008458	0.00619	-0.640115	-0.011447	-0.768194	0.371396	0.241548	0.141004	-0.168922	0.975491	0.758609	-0.614668	-0.216094	0.636106	0.770486	0.041475	1.16249e+15	-4.04014e+15	2.13178639186	4.13118669368	7.06876601214	9.7771063789	17.978473347	11.1825026607
598	0.0003186	0	-1	699	6.65741e+11	38042702	57118.9084356	58382.3146005	61116.3349816	-61.89	-9.19	94.18	177.46	13.93	0.08958	0.01237	12.36708	199.22	179.661822	176.12	0.006976	0.00901	-0.921	0.03618	-0.3878	0.800076	0.750468	0.287016	-0.201791	0.936431	-0.514457	0.792149	0.328381	0.808057	0.576004	-0.123546	102.53	43	1.0	1.03253e+16	-1.9287e+16	-8.44205e+14	309586.0	26.9332	-204.5	-209.79	-8.18	57.118901	58.382324	61.116338	57120.081	58380.275	61128.476	4684364	26089700000.0	0.014434	0.003448	-0.066922	-0.394963	0.916256	0.810734	0.743611	0.395004	-0.195076	0.897729	0.731128	-0.524936	-0.435768	0.556258	0.828485	-0.064726	3.98356e+14	-7.04934e+14	10888040	45281900000.0	0.008465	0.006194	-0.640416	-0.011255	-0.767946	0.37123	0.241645	0.140912	-0.168357	0.975602	0.757109	-0.616629	-0.215764	0.637911	0.769041	0.040574	1.16553e+15	-4.04162e+15	2.13472026907	4.13661463599	7.07350837929	9.78033853198	17.9911285109	11.1810721615
597	0.0004779	0	-1	685	6.6562e+11	38036108	57119.0578263	58382.3113009	61116.1277378	-61.89	-9.2	94.18	177.46	14.06	0.07914	0.0131	12.39859	198.9	179.65973	176.16	0.006981	0.009013	-0.9207	0.0355	-0.3888	0.80021	0.750457	0.286522	-0.201669	0.936608	-0.514655	0.792174	0.32801	0.808106	0.576012	-0.123185	102.55	43	1.0	1.03284e+16	-1.92813e+16	-8.4403e+14	308535.0	26.7907	407.1	-76.97	242.3	57.119069	58.382307	61.116122	57120.182	58380.29	61128.309	4683049	26082800000.0	0.014404	0.003433	-0.066272	-0.395364	0.916131	0.810697	0.743617	0.394445	-0.1949	0.898013	0.730797	-0.525918	-0.435139	0.557089	0.827904	-0.065013	3.99868e+14	-7.0506e+14	10886928	45278000000.0	0.008477	0.006198	-0.640833	-0.010628	-0.767607	0.370996	0.241699	0.140679	-0.1677	0.975749	0.755667	-0.618571	-0.215261	0.639669	0.767624	0.039706	1.16751e+15	-4.039e+15	2.13745652383	4.14708660703	7.08124589939	9.78271499472	18.0018976722	11.1796753795
596	0.0006373	0	-1	691	6.65562e+11	38032016	57119.1192348	58382.343542	61116.014923	-61.89	-9.21	94.18	177.47	13.91	0.06981	0.01253	12.36993	199.28	179.663013	176.2	0.006966	0.008995	-0.9205	0.03365	-0.3894	0.800308	0.75038	0.286884	-0.201957	0.936435	-0.514617	0.79201	0.328466	0.808002	0.576137	-0.123285	102.56	43	1.0	1.03319e+16	-1.92882e+16	-8.4763e+14	310173.0	26.957	-485.63	-237.28	149.2	57.119131	58.382345	61.116017	57120.271	58380.31	61128.162	4681740	26074500000.0	0.014403	0.003418	-0.064321	-0.396895	0.915607	0.810613	0.743616	0.394638	-0.195136	0.897877	0.73014	-0.526639	-0.435369	0.557813	0.827389	-0.065356	4.03152e+14	-7.05661e+14	10885944	45276400000.0	0.008471	0.0062	-0.641308	-0.011292	-0.7672	0.37106	0.241828	0.141175	-0.167378	0.975733	0.753878	-0.620652	-0.215543	0.641667	0.766013	0.038562	1.16806e+15	-4.04496e+15	2.14086120477	4.13987857799	7.07295548873	9.78150929949	18.0077693089	11.1781608978
595	0.0007968	0	-1	684	6.6551e+11	38028183	57119.1921188	58382.409059	61115.9181465	-61.9	-9.23	94.17	177.47	13.79	0.08158	0.01223	12.33297	199.57	179.666991	176.22	0.006946	0.008969	-0.9201	0.03126	-0.3903	0.80042	0.750346	0.287174	-0.20251	0.936227	-0.514859	0.79157	0.329146	0.807745	0.576547	-0.123054	102.57	43	1.0	1.03328e+16	-1.92868e+16	-8.46658e+14	308716.0	27.0876	-14.59	-113.32	62.1	57.119184	58.382411	61.115927	57120.361	58380.335	61128.019	4680663	26067400000.0	0.014404	0.003414	-0.062006	-0.398474	0.915081	0.810556	0.743594	0.394761	-0.195603	0.897721	0.729707	-0.526966	-0.435699	0.558292	0.827071	-0.065293	4.05656e+14	-7.07286e+14	10884767	45273500000.0	0.008471	0.006199	-0.641828	-0.011642	-0.76676	0.371195	0.241997	0.141596	-0.167274	0.975689	0.751851	-0.622977	-0.215916	0.643949	0.764146	0.037554	1.16699e+15	-4.04232e+15	2.14604556379	4.13458277665	7.06573980894	9.77969542489	18.0119588487	11.1766345581
594	0.0009563	0	-1	684	6.65419e+11	38022702	57119.2607411	58382.4250081	61115.7504741	-61.9	-9.24	94.18	177.48	14.01	0.06342	0.01906	12.34257	199.04	179.667277	176.23	0.006937	0.008956	-0.9199	0.02994	-0.391	0.800533	0.750287	0.28737	-0.202594	0.936148	-0.514695	0.791608	0.329311	0.807779	0.576465	-0.12321	102.59	43	1.0	1.03335e+16	-1.92834e+16	-8.46938e+14	306333.0	26.8489	200.83	200.27	125.23	57.119246	58.382429	61.115738	57120.45	58380.353	61127.86	4679623	26062100000.0	0.014397	0.003403	-0.060824	-0.399157	0.914863	0.810466	0.743571	0.394793	-0.195539	0.897721	0.729176	-0.527761	-0.435627	0.558964	0.826579	-0.065774	4.09499e+14	-7.09509e+14	10883356	45267800000.0	0.008475	0.0062	-0.642313	-0.012002	-0.766349	0.371144	0.24203	0.141986	-0.166782	0.975717	0.750215	-0.62492	-0.21599	0.645769	0.762665	0.036393	1.16478e+15	-4.0385e+15	2.14880340779	4.13376230391	7.0617328238	9.77983386829	18.0119927387	11.1751809237
593	0.0011159	0	-1	673	6.65379e+11	38019348	57119.3591018	58382.4476329	61115.6593652	-61.9	-9.25	94.17	177.48	13.82	0.03275	0.01185	12.29532	199.51	179.672093	176.22	0.00692	0.008931	-0.9195	0.02731	-0.3922	0.800694	0.750248	0.287438	-0.202811	0.936081	-0.5146	0.791583	0.32952	0.807816	0.576424	-0.123164	102.6	43	1.0	1.03313e+16	-1.92757e+16	-8.50281e+14	303275.0	27.0563	-258.33	98.55	-72.7	57.119351	58.382439	61.115662	57120.545	58380.37	61127.72	4678571	26055000000.0	0.014388	0.003401	-0.05787	-0.401442	0.914054	0.810448	0.743582	0.394783	-0.195681	0.897694	0.72864	-0.528491	-0.435639	0.55967	0.826079	-0.066058	4.11269e+14	-7.11271e+14	10882264	45266500000.0	0.008479	0.006197	-0.642688	-0.011616	-0.76604	0.371293	0.242192	0.142204	-0.166352	0.975759	0.748473	-0.627011	-0.215976	0.64774	0.761041	0.035347	1.16158e+15	-4.02984e+15	2.15238070856	4.12942631678	7.05635116595	9.78051077128	18.013643142	11.1736318865
592	0.0012755	0	-1	680	6.65206e+11	38010405	57119.567218	58382.4387453	61115.3700466	-61.91	-9.26	94.18	177.48	14.03	0.06194	0.02098	12.38346	198.99	179.665145	176.22	0.006936	0.008956	-0.9189	0.02844	-0.3934	0.800812	0.750297	0.286313	-0.202563	0.936479	-0.514897	0.79174	0.328677	0.808026	0.576295	-0.122387	102.62	43	1.0	1.03285e+16	-1.92784e+16	-8.46231e+14	308058.0	26.8287	-207.39	363.06	-43.6	57.119553	58.382425	61.115362	57120.654	58380.383	61127.533	4677305	26047900000.0	0.014331	0.003381	-0.058239	-0.400643	0.914382	0.810414	0.74358	0.393587	-0.195386	0.898284	0.728533	-0.529646	-0.434414	0.56065	0.825409	-0.066116	4.13016e+14	-7.118e+14	10880717	45262800000.0	0.008484	0.006212	-0.643115	-0.010879	-0.765693	0.370763	0.242121	0.141495	-0.165595	0.97599	0.746981	-0.62911	-0.215034	0.649614	0.759473	0.034681	1.15812e+15	-4.03636e+15	2.14500401441	4.15386616228	7.06781489241	9.78435540997	18.0184678172	11.1723300625
591	0.0014352	0	-1	683	6.65144e+11	38005908	57119.5988379	58382.4541817	61115.2451006	-61.91	-9.27	94.18	177.49	14.08	0.08096	0.01475	12.36286	198.88	179.668142	176.22	0.00692	0.008935	-0.9187	0.02732	-0.394	0.800977	0.750215	0.286841	-0.202705	0.936287	-0.514545	0.791809	0.329061	0.808063	0.57615	-0.122822	102.63	43	1.0	1.03272e+16	-1.92759e+16	-8.50343e+14	306374.0	26.7795	323.48	-434.57	316.61	57.119592	58.382464	61.115237	57120.739	58380.4	61127.383	4676783	26046700000.0	0.014332	0.003376	-0.055743	-0.402181	0.913862	0.810329	0.743572	0.393969	-0.195365	0.898121	0.727787	-0.530482	-0.434644	0.561351	0.824877	-0.066809	4.15441e+14	-7.13265e+14	10878723	45254500000.0	0.008477	0.006207	-0.643709	-0.011249	-0.765188	0.370895	0.242141	0.1422	-0.165127	0.975967	0.74523	-0.631075	-0.215355	0.651469	0.757943	0.033319	1.15532e+15	-4.0326e+15	2.14246086347	4.14323141141	7.05731980019	9.78586684977	18.0206880806	11.1708214402
